Date,M1,M2,DOW,SPX,DOW/M1,DOW/M2,SPX/M1,SPX/M2
11/1/63,154,392,754,74,"4,907","1,925",482,189
12/1/63,153,393,751,73,"4,896","1,909",476,186
1/1/64,154,395,763,75,"4,964","1,931",488,190
2/1/64,154,398,785,77,"5,090","1,975",499,194
3/1/64,155,400,800,78,"5,179","2,001",505,195
4/1/64,155,402,816,79,"5,272","2,032",510,197
5/1/64,155,404,817,80,"5,261","2,022",515,198
6/1/64,156,407,819,80,"5,261","2,011",514,197
7/1/64,157,410,838,82,"5,345","2,044",523,200
8/1/64,158,413,841,83,"5,330","2,035",526,201
9/1/64,159,417,844,82,"5,318","2,024",517,197
10/1/64,159,419,872,84,"5,477","2,081",528,200
11/1/64,160,422,873,85,"5,457","2,069",531,201
12/1/64,160,425,864,84,"5,393","2,035",524,198
1/1/65,161,428,874,85,"5,440","2,045",529,199
2/1/65,161,430,904,88,"5,616","2,100",547,204
3/1/65,162,433,900,87,"5,571","2,077",539,201
4/1/65,162,435,890,86,"5,496","2,045",531,198
5/1/65,162,437,922,89,"5,704","2,110",550,204
6/1/65,162,440,909,89,"5,601","2,064",549,202
7/1/65,163,443,872,85,"5,347","1,968",521,192
8/1/65,164,446,882,85,"5,386","1,978",519,191
9/1/65,165,450,894,87,"5,422","1,988",528,194
10/1/65,166,453,930,90,"5,600","2,054",542,199
11/1/65,167,456,959,92,"5,753","2,104",552,202
12/1/65,168,459,948,92,"5,647","2,064",548,200
1/1/66,169,462,969,92,"5,732","2,098",544,199
2/1/66,170,465,976,92,"5,754","2,100",542,198
3/1/66,171,467,938,90,"5,503","2,008",528,193
4/1/66,172,469,931,90,"5,421","1,984",524,192
5/1/66,171,470,934,91,"5,451","1,986",531,194
6/1/66,172,471,884,86,"5,149","1,875",501,183
7/1/66,170,471,877,86,"5,150","1,863",505,183
8/1/66,171,473,835,82,"4,890","1,767",480,174
9/1/66,172,475,792,78,"4,605","1,666",453,164
10/1/66,171,476,774,77,"4,522","1,628",450,162
11/1/66,171,477,810,81,"4,724","1,696",473,170
12/1/66,172,480,790,80,"4,592","1,645",465,167
1/1/67,172,482,786,80,"4,571","1,631",465,166
2/1/67,173,485,848,86,"4,904","1,749",497,177
3/1/67,175,490,844,88,"4,825","1,722",503,180
4/1/67,174,492,866,90,"4,971","1,760",517,183
5/1/67,176,497,893,94,"5,082","1,796",535,189
6/1/67,177,502,865,90,"4,887","1,723",508,179
7/1/67,178,506,860,91,"4,830","1,699",511,180
8/1/67,180,511,913,95,"5,081","1,787",529,186
9/1/67,181,515,901,94,"4,987","1,751",520,183
10/1/67,182,518,927,97,"5,103","1,788",534,187
11/1/67,182,521,867,93,"4,754","1,664",510,178
12/1/67,183,525,879,95,"4,796","1,675",518,181
1/1/68,184,527,905,97,"4,911","1,716",526,184
2/1/68,185,530,861,93,"4,664","1,624",504,175
3/1/68,186,533,840,89,"4,531","1,576",480,167
4/1/68,187,536,861,93,"4,615","1,608",498,174
5/1/68,188,539,913,98,"4,857","1,695",521,182
6/1/68,189,543,899,99,"4,747","1,657",523,182
7/1/68,191,546,896,99,"4,705","1,643",520,181
8/1/68,192,549,878,97,"4,578","1,598",506,177
9/1/68,193,554,896,99,"4,650","1,619",514,179
10/1/68,194,558,942,103,"4,857","1,690",531,185
11/1/68,196,562,948,103,"4,839","1,686",526,183
12/1/68,197,567,985,108,"4,990","1,738",547,191
1/1/69,199,569,944,104,"4,750","1,658",523,183
2/1/69,199,572,946,103,"4,747","1,654",517,180
3/1/69,200,574,905,98,"4,526","1,576",490,171
4/1/69,201,576,933,101,"4,649","1,621",503,175
5/1/69,201,577,949,104,"4,727","1,647",518,180
6/1/69,201,579,938,104,"4,658","1,621",517,180
7/1/69,202,580,876,98,"4,343","1,511",486,169
8/1/69,202,580,827,94,"4,098","1,425",466,162
9/1/69,202,582,837,96,"4,140","1,437",475,165
10/1/69,203,583,807,93,"3,977","1,383",458,159
11/1/69,204,585,856,97,"4,204","1,462",476,166
12/1/69,204,588,805,93,"3,948","1,369",456,158
1/1/70,206,590,800,92,"3,881","1,357",446,156
2/1/70,205,586,744,85,"3,630","1,269",415,145
3/1/70,206,587,778,90,"3,780","1,324",438,153
4/1/70,207,588,792,90,"3,832","1,346",435,153
5/1/70,207,592,734,81,"3,541","1,240",391,137
6/1/70,208,595,710,78,"3,422","1,193",376,131
7/1/70,208,599,688,73,"3,306","1,148",351,122
8/1/70,210,605,734,78,"3,497","1,214",372,129
9/1/70,212,611,758,81,"3,580","1,240",382,133
10/1/70,213,616,761,84,"3,573","1,234",395,136
11/1/70,214,621,756,83,"3,536","1,217",388,134
12/1/70,214,627,794,88,"3,705","1,268",410,140
1/1/71,216,633,839,92,"3,893","1,326",427,145
2/1/71,217,641,878,96,"4,038","1,369",442,150
3/1/71,219,650,883,97,"4,034","1,358",443,149
4/1/71,220,658,904,100,"4,109","1,373",455,152
5/1/71,222,667,942,104,"4,242","1,413",468,156
6/1/71,224,673,914,100,"4,088","1,358",447,149
7/1/71,225,680,893,100,"3,971","1,314",445,147
8/1/71,226,686,858,96,"3,805","1,252",426,140
9/1/71,227,693,899,99,"3,969","1,298",437,143
10/1/71,227,698,894,99,"3,935","1,280",436,142
11/1/71,228,705,826,93,"3,625","1,172",408,132
12/1/71,228,710,846,95,"3,706","1,191",416,134
1/1/72,230,718,890,102,"3,869","1,240",443,142
2/1/72,232,726,902,104,"3,882","1,243",448,143
3/1/72,234,734,935,107,"3,992","1,275",457,146
4/1/72,236,738,941,107,"3,993","1,274",454,145
5/1/72,236,743,942,107,"3,994","1,268",454,144
6/1/72,237,750,961,110,"4,061","1,281",465,147
7/1/72,239,760,929,107,"3,890","1,223",448,141
8/1/72,241,769,931,108,"3,862","1,210",448,140
9/1/72,243,778,970,112,"3,989","1,246",461,144
10/1/72,245,787,953,111,"3,891","1,211",453,141
11/1/72,246,794,969,113,"3,931","1,220",459,142
12/1/72,249,802,"1,024",117,"4,109","1,276",470,146
1/1/73,252,810,"1,020",118,"4,056","1,259",469,146
2/1/73,252,814,986,115,"3,909","1,211",456,141
3/1/73,252,815,950,111,"3,773","1,165",441,136
4/1/73,253,820,951,112,"3,763","1,160",443,137
5/1/73,255,827,921,107,"3,614","1,114",420,129
6/1/73,257,833,894,104,"3,483","1,073",405,125
7/1/73,258,837,892,104,"3,463","1,066",404,124
8/1/73,258,839,912,107,"3,540","1,087",415,128
9/1/73,258,839,888,104,"3,442","1,058",403,124
10/1/73,259,843,949,108,"3,663","1,126",417,128
11/1/73,261,849,949,108,"3,635","1,118",414,127
12/1/73,263,856,822,96,"3,128",961,365,112
1/1/74,264,860,851,98,"3,225",990,371,114
2/1/74,265,864,844,95,"3,181",977,358,110
3/1/74,267,870,852,96,"3,194",979,360,110
4/1/74,267,873,844,93,"3,157",966,348,107
5/1/74,268,875,854,92,"3,191",976,344,105
