Date,Currency,M1,M2,M3,DAX,DAX/Currency,DAX/M1,DAX/M2,DAX/M3
5/31/11,811421,4710610,8480338,9369117,7294,"8,989","1,548",860,778
6/30/11,815863,4728150,8495988,9386874,7376,"9,041","1,560",868,786
7/31/11,819886,4730745,8509521,9390737,7159,"8,731","1,513",841,762
8/31/11,822674,4764855,8558299,9461608,5785,"7,032","1,214",676,611
9/30/11,832312,4774497,8593759,9494473,5502,"6,611","1,152",640,579
10/31/11,839211,4779936,8572193,9454437,6141,"7,318","1,285",716,650
11/30/11,844176,4790210,8588089,9471859,6089,"7,213","1,271",709,643
12/31/11,844784,4803786,8607320,9498551,5898,"6,982","1,228",685,621
1/31/12,848703,4821347,8644031,9508245,6459,"7,610","1,340",747,679
2/29/12,851155,4824871,8679871,9535017,6856,"8,055","1,421",790,719
3/31/12,851832,4856040,8723292,9610720,6947,"8,155","1,431",796,723
4/30/12,849326,4831364,8704188,9575598,6761,"7,961","1,399",777,706
5/31/12,857067,4881060,8746773,9627462,6264,"7,309","1,283",716,651
6/30/12,863508,4909295,8779098,9658453,6416,"7,430","1,307",731,664
7/31/12,863768,4971911,8829323,9705253,6772,"7,840","1,362",767,698
