Date,M2,M3,M1,NIKKEI,NIKKEI/M2,NIKKEI/M3,NIKKEI/M1
2/1/2020,1038481,1374046,819138,23205,22,17,28
3/1/2020,1044290,1379075,829575,21143,20,15,25
4/1/2020,1063004,1397802,853937,18065,17,13,21
5/1/2020,1081270,1417002,875074,19619,18,14,22
6/1/2020,1103649,1442530,895896,22062,20,15,25
7/1/2020,1110278,1452428,901997,22122,20,15,25
8/1/2020,1116805,1459982,908942,21710,19,15,24
9/1/2020,1121959,1465237,913481,23138,21,16,25
10/1/2020,1123257,1467149,915251,23185,21,16,25
11/1/2020,1130600,1474788,921798,22977,20,16,25
12/1/2020,1135968,1481346,931401,26788,24,18,29
1/1/2021,1140019,1486049,937944,27444,24,18,29
2/1/2021,1138475,1484661,938826,28091,25,19,30
3/1/2021,1143638,1489504,946780,29664,26,20,31
4/1/2021,1161780,1508227,966156,29389,25,19,30
5/1/2021,1167541,1514550,974759,28813,25,19,30
6/1/2021,1169090,1517627,972878,28814,25,19,30
7/1/2021,1169006,1519544,974426,28707,25,19,29
8/1/2021,1168841,1519880,975289,27284,23,18,28
9/1/2021,1169150,1520054,976952,28451,24,19,29
10/1/2021,1170565,1521814,981422,28771,25,19,29
11/1/2021,1175667,1526988,987081,29647,25,19,30
12/1/2021,1178209,1530952,995195,27936,24,18,28
1/1/2022,1181318,1534404,999611,28792,24,19,29
2/1/2022,1178901,1531834,998669,27078,23,18,27
3/1/2022,1183317,1535932,1005965,26845,23,17,27
4/1/2022,1201850,1555170,1024147,27666,23,18,27
5/1/2022,1204283,1557898,1028341,26848,22,17,26
6/1/2022,1207818,1562326,1027559,27458,23,18,27
7/1/2022,1208802,1564834,1028787,25936,21,17,25
8/1/2022,1208820,1564977,1029334,27993,23,18,27
9/1/2022,1207550,1563248,1028940,27661,23,18,27
10/1/2022,1206441,1561968,1030055,25937,21,17,25
11/1/2022,1212494,1567735,1036389,27679,23,18,27
12/1/2022,1212830,1569348,1042561,28226,23,18,27
1/1/2023,1213246,1569632,1044850,26095,22,17,25
2/1/2023,1209139,1564824,1042014,27347,23,17,26
3/1/2023,1213441,1568192,1050530,27517,23,18,26
4/1/2023,1232694,1587348,1069614,28041,23,18,26
5/1/2023,1236043,1590452,1073421,29123,24,18,27
6/1/2023,1239232,1594243,1071969,31148,25,20,29
7/1/2023,1238894,1594980,1071309,33189,27,21,31
8/1/2023,1238527,1594365,1072589,33477,27,21,31
9/1/2023,1236362,1591825,1072240,32711,26,21,31
10/1/2023,1235314,1590521,1072380,31858,26,20,30
11/1/2023,1239906,1594328,1076205,31602,25,20,29
12/1/2023,1240974,1596244,1082628,33432,27,21,31
1/1/2024,1243089,1598168,1085869,33464,27,21,31
2/1/2024,1238711,1592865,1083150,36011,29,23,33
3/1/2024,1244308,1597225,1092687,39911,32,25,37
4/1/2024,1259987,1612568,1108538,39803,32,25,36
5/1/2024,1258885,1610593,1103435,38274,30,24,35
6/1/2024,1257442,1609481,1098866,38488,31,24,35
7/1/2024,1256914,1610159,1096903,39631,32,25,36
8/1/2024,1254835,1607410,1096165,38126,30,24,35
9/1/2024,1251705,1603474,1092086,38648,31,24,35
10/1/2024,1250064,1601388,1088470,38652,31,24,36
11/1/2024,1254927,1605894,1091366,38054,30,24,35
12/1/2024,1257604,1609740,1096952,38208,30,24,35
1/1/2025,1259458,1610772,1097352,39895,32,25,36
2/1/2025,1253222,1603410,1091963,39572,32,25,36
3/1/2025,1254399,1602961,1093622,37156,30,23,34
