Added/Removed,PERMNO,Company,Ticker,SP500 Start,SP500 End
Added,90442,TWENTY FIRST CENTURY FOX INC; NEWS CORP,"TFCF, FOX, NWS",2015-09-21,2019-03-19
Added,12622,H C A HOLDINGS INC; H C A HEALTHCARE INC,HCA,2015-01-27,2022-12-30
Added,88436,ENDO INTERNATIONAL PLC; ENDO HEALTH SOLUTIONS INC; ENDO PHARMACEUTICALS HLDGS INC,ENDP,2015-01-27,2017-03-01
Added,88446,ILLUMINA INC,ILMN,2015-11-19,2022-12-30
Added,14776,SYNCHRONY FINANCIAL,SYF,2015-11-18,2022-12-30
Added,21020,A M R CORP DEL; AMERICAN AIRLINES GROUP INC; AMERICAN AIRLS INC,"AAL, AMR",2015-03-23,2022-12-30
Added,82581,SCHEIN HENRY INC,HSIC,2015-03-18,2022-12-30
Added,45911,ALPHA INDUSTRIES INC; SKYWORKS SOLUTIONS INC,"AHA, AHAA, SWKS",2015-03-12,2022-12-30
Added,23393,CHURCH & DWIGHT INC,"CHD, CRCH",2015-12-29,2022-12-30
Added,93089,VERISK ANALYTICS INC,VRSK,2015-10-08,2022-12-30
Added,91103,UNITED AIRLINES HOLDINGS INC; U A L CORP; UNITED CONTINENTAL HOLDINGS INC,"UAUA, UAL",2015-09-03,2022-12-30
Added,15401,BAXALTA INC,BXLT,2015-07-01,2016-06-02
Added,85035,R F MICRO DEVICES INC; QORVO INC,"RFMD, QRVO",2015-06-12,2022-12-30
Added,15404,COLUMBIA PIPELINE GROUP INC,CPGX,2015-07-02,2016-07-05
Added,15408,KRAFT HEINZ CO,KHC,2015-07-06,2022-12-30
Added,15488,PAYPAL HOLDINGS INC,PYPL,2015-07-20,2022-12-30
Added,89217,ADVANCE AUTO PARTS INC,AAP,2015-07-09,2022-12-30
Added,81045,REALTY INCOME CORP,O,2015-04-07,2022-12-30
Added,85265,S L GREEN REALTY CORP,SLG,2015-03-23,2021-03-19
Added,91416,HANESBRANDS INC,HBI,2015-03-23,2021-12-17
Added,15707,HEWLETT PACKARD ENTERPRISE CO,HPE,2015-11-02,2022-12-30
Added,15719,FOUR CORNERS PROPERTY TRUST INC,FCPT,2015-11-10,2015-11-10
Added,15797,C S R A INC,CSRA,2015-11-30,2018-04-03
Added,89565,COMCAST CORP NEW,CMCSK,2015-09-21,2015-12-11
Added,89617,EQUINIX INC,EQIX,2015-03-23,2022-12-30
Added,13964,NEWS CORP NEW,NWS,2015-09-21,2022-12-30
Added,12076,SIGNET JEWELERS LTD,SIG,2015-07-29,2018-03-16
Added,79678,ACTIVISION BLIZZARD INC; ACTIVISION INC NEW,ATVI,2015-08-31,2022-12-30
Added,42877,HUNT J B TRANSPORT SERVICES INC,JBHT,2015-07-01,2022-12-30
Removed,90162,GENWORTH FINANCIAL INC,GNW,2005-12-02,2015-11-17
Removed,43123,A T I INC; ALLEGHENY TELEDYNE INC; ALLEGHENY TECHNOLOGIES; TELEDYNE INC,"ATI, ALT, TDY",1978-10-26,2015-07-01
Removed,35051,PALL CORP,"PLL, PPL",1987-12-31,2015-08-28
Removed,82196,NEWSCOPE RESOURCES LTD; DENBURY RESOURCES INC,"DNR, NNEXF, DENRF",2009-04-02,2015-03-20
Removed,76149,SAFEWAY INC,SWY,1998-11-13,2015-01-26
Removed,90537,NOBLE CORP BAAR; NOBLE CORP; NOBLE CORP PLC; NOBLE DRILLING CORP,"NE, NDCO",2011-01-18,2015-07-17
Removed,29102,ANGLO LTD; NABORS INDUSTRIES LTD; ANGLO ENERGY INC; ANGLO ENERGY LTD; ANGLO LAUTARO NITRATE CORP; ANGLO LAUTARO NITRATE LTD; NABORS INDUSTRIES INC,"NBR, AGO, AEL",2000-10-18,2015-03-20
Removed,25099,INTEGRYS ENERGY GROUP INC; WISCONSIN PUBLIC SERVICE CORP; W P S RESOURCES CORP,"WPS, TEG",2007-02-22,2015-06-30
Removed,53866,FAMILY DOLLAR STORES INC,FDO,2001-08-06,2015-07-08
Removed,92988,CAREFUSION CORP,CFN,2009-09-01,2015-03-17
Removed,17279,LORILLARD INC,LO,2008-06-11,2015-06-11
Removed,70536,SIGMA ALDRICH CORP,SIAL,1994-09-21,2015-11-18
Removed,89105,JOY GLOBAL INC,"JOY, JOYG",2011-02-28,2015-10-07
Removed,87070,HUDSON CITY BANCORP INC,HCBK,2007-02-15,2015-11-02
Removed,40125,D X C TECHNOLOGY CO; COMPUTER SCIENCES CORP,"CSC, DXC, CSZ",1981-05-14,2015-11-30
Removed,93422,Q E P RESOURCES INC,QEP,2010-07-01,2015-06-30
Removed,91391,WINDSTREAM CORP; WINDSTREAM HOLDINGS INC,WIN,2006-07-18,2015-04-06
Removed,13598,KRAFT FOODS GROUP INC,KRFT,2012-10-02,2015-07-02
Removed,15719,FOUR CORNERS PROPERTY TRUST INC,FCPT,2015-11-10,2015-11-10
Removed,89565,COMCAST CORP NEW,CMCSK,2015-09-21,2015-12-11
Removed,40416,AVON PRODUCTS INC,AVP,1967-05-18,2015-03-20
Removed,79411,PETSMART INC,PETM,2012-10-05,2015-03-11
Removed,75577,ALTERA CORP,ALTR,2000-04-18,2015-12-28
Removed,89954,DIRECTV GROUP INC; DIRECTV; HUGHES ELECTRONICS CORP,"HS, DTV",2006-12-04,2015-07-28
Removed,75646,ALLERGAN INC,AGN,1992-02-10,2015-03-20
Removed,92156,COVIDIEN LTD; COVIDIEN PLC,COV,2011-03-01,2015-01-26
Removed,90110,HOSPIRA INC,HSP,2004-05-03,2015-09-02
