Added/Removed,PERMNO,Company,Ticker,SP500 Start,SP500 End
Added,18578,KONTOOR BRANDS INC,KTB,2019-05-23,2019-05-23
Added,12448,FIRST REPUBLIC BANK S F NEW,FRC,2019-01-02,2022-12-30
Added,18592,CORTEVA INC,CTVA,2019-06-03,2022-12-30
Added,32986,ATMOS ENERGY CORP; ENERGAS CO,"ATO, EGAS",2019-02-15,2022-12-30
Added,18724,AMCOR PLC,AMCR,2019-06-11,2022-12-30
Added,90454,MARKETAXESS HLDGS INC,MKTX,2019-07-01,2022-12-30
Added,90505,LAS VEGAS SANDS CORP,LVS,2019-10-03,2022-12-30
Added,43772,BEMIS CO INC,BMS,2019-06-07,2019-06-10
Added,91041,LIVE NATION INC; C C E SPINCO INC; LIVE NATION ENTERTAINMENT INC,LYV,2019-12-23,2022-12-30
Added,76795,ZEBRA TECHNOLOGIES CORP,ZBRA,2019-12-23,2022-12-30
Added,13447,SERVICENOW INC,NOW,2019-11-21,2022-12-30
Added,77037,OLD DOMINION FREIGHT LINE INC,ODFL,2019-12-09,2022-12-30
Added,44329,TELEFLEX INC,TFX,2019-01-18,2022-12-30
Added,17743,BERKLEY W R CORP,"WRB, BER, BKLY",2019-12-05,2022-12-30
Added,91547,S A I C INC; LEIDOS HOLDINGS INC,"SAI, LDOS",2019-08-09,2022-12-30
Added,13949,C D W CORP NEW,CDW,2019-09-23,2022-12-30
Added,81677,WESTINGHOUSE AIR BRAKE CO NEW; WABTEC CORP,WAB,2019-02-27,2022-12-30
Added,91937,METROPCS COMMUNICATIONS INC; T MOBILE U S INC,"TMUS, PCS",2019-07-15,2022-12-30
Added,75591,IDEX CORP,IEX,2019-08-09,2022-12-30
Added,77649,STERIS PLC NEW; STERIS PLC; STERIS CORP,"STRL, STE",2019-12-23,2022-12-30
Added,18327,COVETRUS INC,CVET,2019-02-08,2019-02-08
Added,79785,N V R INC,NVR,2019-09-26,2022-12-30
Added,18420,FOX CORP,FOXA,2019-03-19,2022-12-30
Added,18421,FOX CORP,FOX,2019-03-19,2022-12-30
Added,18428,DOW INC,DOW,2019-04-02,2022-12-30
Removed,86021,L 3 COMMUNICATIONS HLDGS INC; L 3 TECHNOLOGIES INC,LLL,2004-12-01,2019-06-28
Removed,79915,NEWFIELD EXPLORATION CO,NFX,2010-12-20,2019-02-14
Removed,16432,GOODYEAR TIRE & RUBBER CO,GT,1925-12-31,2019-02-26
Removed,18578,KONTOOR BRANDS INC,KTB,2019-05-23,2019-05-23
Removed,90441,TWENTY FIRST CENTURY FOX INC; NEWS CORP,"NWSA, FOXA, TFCFA, NWS",2004-12-20,2019-03-19
Removed,90442,TWENTY FIRST CENTURY FOX INC; NEWS CORP,"TFCF, FOX, NWS",2015-09-21,2019-03-19
Removed,16816,BRIGHTHOUSE FINANCIAL INC,BHF,2017-08-07,2019-04-02
Removed,80399,MACERICH CO,MAC,2013-05-09,2019-12-20
Removed,68144,SUNTRUST BANKS INC,STI,1988-05-05,2019-12-06
Removed,39538,MATTEL INC,MAT,1982-03-11,2019-06-06
Removed,80539,NEKTAR THERAPEUTICS; INHALE THERAPEUTIC SYSTEMS,"NKTR, INHL",2018-03-19,2019-10-02
Removed,70332,ANADARKO PETROLEUM CORP,APC,1997-07-28,2019-08-08
Removed,43772,BEMIS CO INC,BMS,2019-06-07,2019-06-10
Removed,88853,FLUOR CORP NEW,FLR,2000-12-22,2019-06-03
Removed,76639,TOTAL SYSTEM SERVICES INC; TOTAL SYSTEMS SERVICES INC,"TSS, TSYS",2008-01-02,2019-09-20
Removed,13168,TRIPADVISOR INC,TRIP,2011-12-21,2019-12-20
Removed,91063,VIACOM INC NEW,"VIA, VIAB",2006-01-03,2019-12-04
Removed,15456,FOOT LOCKER INC; VENATOR GROUP INC; WOOLWORTH CORP; WOOLWORTH F W CO,"Z, FL",2016-04-04,2019-08-08
Removed,87184,RED HAT INC,"RHT, RHAT",2009-07-27,2019-07-12
Removed,11552,CELGENE CORP,CELG,2006-11-06,2019-11-20
Removed,13688,PACIFIC GAS & ELEC CO; P G & E CORP,PCG,1925-12-31,2019-01-17
Removed,85593,AFFILIATED MANAGERS GROUP INC,AMG,2014-07-01,2019-12-20
Removed,18327,COVETRUS INC,CVET,2019-02-08,2019-02-08
Removed,20415,JEFFERIES FINANCIAL GROUP INC; TALCOTT JAMES INC; LEUCADIA NATIONAL CORP; TALCOTT NATIONAL CORP,"LUK, TLC, JEF",2007-08-27,2019-09-25
