Added/Removed,PERMNO,Company,Ticker,SP500 Start,SP500 End
Added,14542,GOOGLE INC; ALPHABET INC,GOOG,2014-04-03,2022-12-30
Added,14601,NAVIENT CORP,NAVI,2014-05-01,2018-06-04
Added,80204,MARTIN MARIETTA MATERIALS INC,MLM,2014-07-02,2022-12-30
Added,80286,TRACTOR SUPPLY CO NEW,TSCO,2014-01-24,2022-12-30
Added,92778,DISCOVERY INC; DISCOVERY COMMUNICATIONS INC,DISCK,2014-08-07,2022-04-08
Added,80681,ESSEX PROPERTY TRUST INC,ESS,2014-04-02,2022-12-30
Added,93002,AVAGO TECHNOLOGIES LTD; BROADCOM LTD; BROADCOM INC,AVGO,2014-05-08,2022-12-30
Added,90979,UNDER ARMOUR INC,"UA, UAA, UARM",2014-05-01,2022-06-17
Added,79145,ROYAL CARIBBEAN CRUISES LTD,RCL,2014-12-05,2022-12-30
Added,89509,CIMAREX ENERGY CO,XEC,2014-06-23,2020-03-02
Added,85593,AFFILIATED MANAGERS GROUP INC,AMG,2014-07-01,2019-12-20
Added,85663,UNITED RENTALS INC,URI,2014-09-22,2022-12-30
Added,14011,MALLINCKRODT PLC,MNK,2014-08-19,2017-07-25
Added,79588,GREEN MOUNTAIN COFFEE ROASTERS I; GREEN MOUNTAIN COFFEE INC; KEURIG GREEN MOUNTAIN INC,GMCR,2014-03-24,2016-03-04
Added,79637,UNIVERSAL HEALTH SERVICES INC,"UHS, UHSI",2014-09-22,2022-12-30
Added,85991,LEVEL 3 COMMUNICATIONS INC,LVLT,2014-11-05,2017-10-12
Removed,45241,FOREST LABS INC,FRX,2000-11-22,2014-06-30
Removed,45277,INTERNATIONAL GAME TECHNOLOGY,"IGT, IGAM",2001-09-04,2014-06-20
Removed,45495,ROWAN DRILLING CO; ROWAN COMPANIES INC; ROWAN COMPANIES PLC,RDC,1985-01-10,2014-08-18
Removed,86725,LIFE TECHNOLOGIES CORP; INVITROGEN CORP,"LIFE, IVGN",2008-11-24,2014-01-23
Removed,43772,BEMIS CO INC,BMS,1978-07-20,2014-12-04
Removed,66325,STUDENT LOAN MARKETING ASSN; U S A EDUCATION INC; S L M HOLDING CORP; S L M CORP,"SLM, SLMA",1998-07-01,2014-04-30
Removed,27422,CLEVELAND CLIFFS INC; CLEVELAND CLIFFS IRON CO; CLIFFS NATURAL RESOURCES INC; CLEVELAND CLIFFS INC NEW,CLF,2009-12-21,2014-04-01
Removed,13141,W P X ENERGY INC,WPX,2012-01-03,2014-03-21
Removed,76644,UNITED STATES STEEL CORP NEW; U S X US STEEL GROUP INC,X,1991-05-07,2014-07-01
Removed,88991,PEABODY ENERGY CORP,BTU,2006-11-20,2014-09-19
Removed,48267,L S I CORP NEW; L S I LOGIC CORP,"LSI, LLSI",1995-12-13,2014-05-07
Removed,79094,JABIL CIRCUIT INC; JABIL INC,"JBIL, JBL",2001-01-30,2014-11-04
Removed,53225,WASHINGTON POST CO; GRAHAM HOLDINGS CO,"WPO, GHC",2007-12-31,2014-09-19
Removed,10225,FORTUNE BRANDS INC; AMERICAN BRANDS INC; AMERICAN TOB CO; BEAM INC,"AMB, BEAM, AT, FO",1925-12-31,2014-04-30
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
