Added/Removed,PERMNO,Company,Ticker,SP500 Start,SP500 End
Added,32791,ENERGY VENTURES INC; WEATHERFORD INTERNATIONAL PLC; WEATHERFORD INTL INC NEW; WEATHERFORD INTL LTD; E V I WEATHERFORD INC; WEATHERFORD INTL LTD NEW; E V I INC,"WFT, WFRD, EVI, ENGY",2005-07-22,2009-02-25
Added,90162,GENWORTH FINANCIAL INC,GNW,2005-12-02,2015-11-17
Added,84032,NATIONAL OILWELL VARCO INC; NATIONAL OILWELL INC; N O V INC,"NOI, NOV",2005-03-14,2021-09-17
Added,69796,CANANDAIGUA WINE INC; CANANDAIGUA BRANDS; CONSTELLATION BRANDS INC; CANANDAIGUA BRANDS INC,"STZ, CDB, CBRNA, WINEA, CDG",2005-07-05,2022-12-30
Added,84176,SCRIPPS HOWARD INC; SCRIPPS E W CO OHIO; E W SCRIPPS CO,SSP,2005-12-20,2008-06-30
Added,78034,PATTERSON DENTAL CO; PATTERSON COMPANIES INC,PDCO,2005-10-11,2018-03-16
Added,90880,AMERIPRISE FINANCIAL INC,AMP,2005-10-03,2022-12-30
Added,84788,AMAZON COM INC,AMZN,2005-11-21,2022-12-30
Added,76619,COVENTRY HEALTH CARE INC; COVENTRY CORP,"CVH, CVTY",2005-08-30,2013-05-08
Added,64653,STORAGE EQUITIES INC; PUBLIC STORAGE; PUBLIC STORAGE INC,"STOR, SEQ, PSA",2005-08-19,2022-12-30
Added,52708,LENNAR CORP,LEN,2005-10-04,2022-12-30
Added,89757,SEARS HOLDINGS CORP; KMART HOLDING CORP,"KMRT, SHLD",2005-03-28,2012-09-04
Added,28345,MURPHY OIL CORP; MURPHY CORP,MUR,2005-08-15,2017-07-25
Added,28388,VORNADO INC; VORNADO REALTY TRUST,VNO,2005-08-12,2022-12-30
Added,77661,D R HORTON INC,"DRHI, DHI",2005-07-05,2022-12-30
Added,77730,TYSON FOODS INC,"TYSNA, TSN, TYSN",2005-08-11,2022-12-30
Removed,83981,CALPINE CORP,CPN,2000-12-01,2005-12-01
Removed,16424,GILLETTE SAFETY RAZOR CO; GILLETTE CO,"G, GS",1960-10-26,2005-09-30
Removed,10401,AMERICAN TELEPHONE & TELEG CO; A T & T CORP,T,1957-03-01,2005-11-18
Removed,80055,VERITAS SOFTWARE CORP,VRTS,2000-04-03,2005-07-01
Removed,88319,VISTEON CORP,VC,2000-06-29,2005-12-30
Removed,14891,UNOCAL CORP; UNION OIL CO CALIF,UCL,1957-03-01,2005-08-10
Removed,86591,DELPHI CORP; DELPHI AUTOMOTIVE SYSTEMS CORP,DPH,1999-05-28,2005-10-10
Removed,76557,M B N A CORP,KRB,1992-04-23,2005-12-30
Removed,13100,MAY DEPARTMENT STORES CO,"MAY, MA",1944-06-07,2005-08-29
Removed,85073,PROVIDIAN FINANCIAL CORP,PVN,1997-06-11,2005-09-30
Removed,23915,GEORGIA PACIFIC PLYWOOD CO; GEORGIA PACIFIC CORP; GEORGIA PACIFIC PLYWD & LMBR CO,"GP, GXP",1964-02-20,2005-12-19
Removed,77284,FLEET CALL INC; NEXTEL COMMUNICATIONS INC,"NXTL, CALL",1998-04-01,2005-08-12
Removed,26112,DELTA AIR LINES INC,DAL,1968-02-01,2005-08-18
Removed,85516,POWER ONE INC,PWER,2000-10-23,2005-03-11
Removed,32379,GREAT LAKES CHEM CORP,GLK,1991-11-25,2005-07-01
Removed,61065,TOYS R US INC,"TOY, TOYS",1983-09-08,2005-07-21
Removed,10108,SUNGARD DATA SYSTEMS INC,"SNDT, SDS",2002-07-22,2005-08-11
Removed,14322,SEARS ROEBUCK & CO,S,1925-12-31,2005-03-24
,,,,,
,,,,,
