Added/Removed,PERMNO,Company,Ticker,SP500 Start,SP500 End
Added,79879,UNIPHASE CORP; VIAVI SOLUTIONS INC; J D S UNIPHASE CORP,"JDSU, VIAV, UNPH",2000-07-27,2013-12-20
Added,83981,CALPINE CORP,CPN,2000-12-01,2005-12-01
Added,86041,YOUNG & RUBICAM INC,YNR,2000-01-06,2000-10-02
Added,75825,ENRON OIL & GAS CO; EOG RESOURCES INC,EOG,2000-11-02,2022-12-30
Added,10299,LINEAR TECHNOLOGY CORP,LLTC,2000-04-03,2017-03-10
Added,84036,SABRE HOLDINGS CORP; SABRE GROUP HOLDINGS INC,TSG,2000-03-16,2007-03-30
Added,86176,KING PHARMACEUTICALS INC,"KG, KING",2000-10-03,2010-12-17
Added,80055,VERITAS SOFTWARE CORP,VRTS,2000-04-03,2005-07-01
Added,45241,FOREST LABS INC,FRX,2000-11-22,2014-06-30
Added,73940,SYMBOL TECHNOLOGIES INC,"SMBL, SBL",2000-12-11,2007-01-09
Added,90352,DYNEGY INC NEW DEL; DYNEGY INC NEW; DYNEGY INC DEL,DYN,2000-10-03,2009-12-18
Added,88313,STILWELL FINANCIAL INC; JANUS CAP GROUP INC,"JNS, SV",2000-07-13,2011-11-22
Added,88319,VISTEON CORP,VC,2000-06-29,2005-12-30
Added,86305,CONVERGYS CORP,CVG,2000-06-13,2009-12-18
Added,80266,QLOGIC CORP,QLGC,2000-12-12,2011-01-14
Added,51596,KANSAS NEBRASKA NATURAL GAS INC; KINDER MORGAN INC KANSAS; K N ENERGY INC,"KNE, KNB, KMI",2000-12-12,2007-05-30
Added,70033,HARLEY DAVIDSON INC,"HDI, HOG",2000-01-31,2020-06-19
Added,84372,N C R CORP NEW,NCR,2000-01-03,2007-09-28
Added,29102,ANGLO LTD; NABORS INDUSTRIES LTD; ANGLO ENERGY INC; ANGLO ENERGY LTD; ANGLO LAUTARO NITRATE CORP; ANGLO LAUTARO NITRATE LTD; NABORS INDUSTRIES INC,"NBR, AGO, AEL",2000-10-18,2015-03-20
Added,86496,CONEXANT SYSTEMS INC,CNXT,2000-01-31,2002-06-25
Added,10725,CHARTER ONE FINANCIAL INC,"CF, COFI",2000-06-19,2004-08-31
Added,88587,AVAYA INC,AV,2000-10-02,2007-10-25
Added,88845,AETNA INC NEW,AET,2000-12-14,2018-11-30
Added,23318,CHIRON CORP,CHIR,2000-11-24,2006-04-19
Added,88853,FLUOR CORP NEW,FLR,2000-12-22,2019-06-03
Added,76656,MEDIMMUNE INC,MEDI,2000-06-16,2007-05-31
Added,76757,AMBAC INC; AMBAC FINANCIAL GROUP INC,ABK,2000-12-11,2008-06-10
Added,52230,BOOTHE COMPUTER CORP; BOOTHE FINANCIAL CORP; ROBERT HALF INTL INC; BOOTHE COURIER CORP; ROBERT HALF INTERNATIONAL INC,"RHII, BCMP, BCP, RHI",2000-12-05,2022-12-30
Added,85032,QWEST COMMUNICATIONS INTL INC,"QWST, Q",2000-07-06,2011-03-31
Added,87137,DEVON ENERGY CORP NEW,DVN,2000-08-30,2022-12-30
Added,78975,INTUIT INC,INTU,2000-12-11,2022-12-30
Added,79108,SANMINA CORP; SANMINA SCI CORP; SANMINA HOLDINGS INC,SANM,2000-06-21,2007-06-29
Added,75100,TIFFANY & CO NEW,TIF,2000-06-21,2021-01-06
Added,77173,VTIESSE SEMICONDUCTOR CORP; VITESSE SEMICONDUCTOR CORP,VTSS,2000-12-12,2002-08-20
Added,87432,AGILENT TECHNOLOGIES INC,A,2000-06-05,2022-12-30
Added,54690,HOTEL INVESTORS TRUST; STARWOOD LODGING TRUST; STARWOOD HOTELS & RESORTS TRUST; STARWOOD HOTELS & REST WLDWD INC,HOT,2000-11-17,2006-04-07
Added,73139,STRYKER CORP,"SYK, STRY",2000-12-12,2022-12-30
Added,83413,SAPIENT CORP,SAPE,2000-05-05,2002-05-10
Added,85516,POWER ONE INC,PWER,2000-10-23,2005-03-11
Added,85599,C I T GROUP INC,CIT,2000-07-17,2001-06-01
Added,11896,MAXIM INTEGRATED PRODUCTS INC,MXIM,2000-05-10,2007-09-26
Added,83630,BROADVISION INC,BVSN,2000-11-06,2001-08-31
