Added/Removed,PERMNO,Company,Ticker,SP500 Start,SP500 End
Added,75819,VENTAS INC; VENCOR INC,"VCOR, VC, VTR",2009-03-04,2022-12-30
Added,32870,HORMEL FOODS CORP; HORMEL GEORGE A & CO,HRL,2009-03-04,2022-12-30
Added,82196,NEWSCOPE RESOURCES LTD; DENBURY RESOURCES INC,"DNR, NNEXF, DENRF",2009-04-02,2015-03-20
Added,82298,DIAMOND OFFSHORE DRILLING INC,DO,2009-02-26,2016-09-30
Added,65947,WELLTOWER INC; HEALTH CARE REIT INC; HEALTH CARE FUND,"HCN, HCFDS",2009-01-30,2022-12-30
Added,92611,VISA INC,V,2009-12-21,2022-12-30
Added,23085,SOUTH CAROLINA ELEC & GAS CO; SCANA CORP NEW; SCANA CORP,SCG,2009-01-02,2018-12-31
Added,70308,AIRGAS INC,"AGA, ARG",2009-09-09,2016-05-20
Added,92890,MEAD JOHNSON NUTRITION CO,MJN,2009-12-21,2017-06-16
Added,19166,FOOD MACHY CORP; F M C CORP; FOOD MACHY & CHEM CORP,FMC,2009-08-19,2022-12-30
Added,86783,BOOKING HOLDINGS INC; PRICELINE GROUP INC; PRICELINE COM INC,"PCLN, BKNG",2009-11-06,2022-12-30
Added,27422,CLEVELAND CLIFFS INC; CLEVELAND CLIFFS IRON CO; CLIFFS NATURAL RESOURCES INC; CLEVELAND CLIFFS INC NEW,CLF,2009-12-21,2014-04-01
Added,92988,CAREFUSION CORP,CFN,2009-09-01,2015-03-17
Added,66384,WESTERN DIGITAL CORP,"WDCL, WDC",2009-07-01,2022-12-30
Added,76708,DEVRY EDUCATION GROUP INC; ADTALEM GLOBAL EDUCATION INC; DEVRY INC DEL,"DV, DVRY, ATGE",2009-06-09,2012-09-28
Added,89004,F M C TECHNOLOGIES INC,FTI,2009-06-05,2017-01-13
Added,87184,RED HAT INC,"RHT, RHAT",2009-07-27,2019-07-12
Added,44206,EVERSOURCE ENERGY; NORTHEAST UTILITIES,"ES, NU",2009-03-17,2022-12-30
Added,83143,IRON MOUNTAIN INC DEL; IRON MOUNTAIN INC; IRON MOUNTAIN INC NEW,"IMTN, IRM",2009-01-06,2022-12-30
Added,79103,O REILLY AUTOMOTIVE INC; O REILLY AUTOMOTIVE INC NEW,ORLY,2009-03-27,2022-12-30
Added,77157,O I GLASS INC; OWENS ILL INC,OI,2009-01-02,2016-12-01
Added,91547,S A I C INC; LEIDOS HOLDINGS INC,"SAI, LDOS",2009-12-21,2013-09-20
Added,79265,FLIR SYSTEMS INC,FLIR,2009-01-02,2021-05-13
Added,91556,ROSS STORES INC,ROST,2009-12-21,2022-12-30
Added,91611,FIRST SOLAR INC,FSLR,2009-10-16,2017-03-17
Added,77338,ROPER TECHNOLOGIES INC; ROPER INDUSTRIES INC NEW,"ROP, ROPR",2009-12-23,2022-12-30
Added,91883,TIME WARNER CABLE INC,TWC,2009-03-30,2016-05-17
Added,85792,QUANTA SERVICES INC,PWR,2009-07-01,2022-12-30
Added,91937,METROPCS COMMUNICATIONS INC; T MOBILE U S INC,"TMUS, PCS",2009-06-30,2013-04-30
Removed,32791,ENERGY VENTURES INC; WEATHERFORD INTERNATIONAL PLC; WEATHERFORD INTL INC NEW; WEATHERFORD INTL LTD; E V I WEATHERFORD INC; WEATHERFORD INTL LTD NEW; E V I INC,"WFT, WFRD, EVI, ENGY",2005-07-22,2009-02-25
Removed,51263,MANITOWOC CO INC,"MTW, MANT",2007-11-16,2009-08-31
Removed,90352,DYNEGY INC NEW DEL; DYNEGY INC NEW; DYNEGY INC DEL,DYN,2000-10-03,2009-12-18
Removed,86305,CONVERGYS CORP,CVG,2000-06-13,2009-12-18
Removed,10562,PENN SAVINGS BANK WYOMISSING PA; SOVEREIGN BANCORP INC,"PSVB, SVRN, SOV",2004-07-01,2009-01-29
Removed,90537,NOBLE CORP BAAR; NOBLE CORP; NOBLE CORP PLC; NOBLE DRILLING CORP,"NE, NDCO",2001-01-16,2009-03-26
Removed,25013,SCHERING PLOUGH CORP; SCHERING CORP,"SGP, SRG",1957-03-01,2009-11-03
Removed,70092,KAUFMAN & BROAD HOME CORP; K B HOME,KBH,1989-03-08,2009-12-18
Removed,84519,CIENA CORP,CIEN,2001-08-30,2009-12-18
Removed,53831,CENTEX CORP,CTX,1977-03-31,2009-08-18
Removed,15077,U S T INC; UNITED STS TOB CO,"UBO, UST",1987-04-09,2009-01-05
Removed,76638,JONES APPAREL GROUP INC; JONES GROUP INC,JNY,2001-12-17,2009-03-03
