Added/Removed,PERMNO,Company,Ticker,SP500 Start,SP500 End
Added,14338,HILTON WORLDWIDE HOLDINGS INC,HLT,2017-06-19,2022-12-30
Added,69649,RAYMOND JAMES FINANCIAL INC; R J FINANCIAL CO,"RJF, RJFN",2017-03-20,2022-12-30
Added,79906,INCYTE CORP; INCYTE PHARMACEUTICALS INC; INCYTE GENOMICS INC,"IPI, INCY",2017-02-28,2022-12-30
Added,16538,TECHNIPFMC PLC,FTI,2017-01-17,2021-02-11
Added,16544,BIOVERATIV INC,BIVV,2017-02-02,2017-02-02
Added,14704,MARKIT LTD; I H S MARKIT LTD,"INFO, MRKT",2017-06-02,2022-03-01
Added,82303,PRUDENTIAL REINSURANCE HOLD INC; EVEREST REINSURANCE HOLDINGS INC; EVEREST RE GROUP LTD,RE,2017-06-19,2022-12-30
Added,16816,BRIGHTHOUSE FINANCIAL INC,BHF,2017-08-07,2019-04-02
Added,16851,DOWDUPONT INC; DUPONT DE NEMOURS INC,"DD, DWDP",2017-09-01,2022-12-30
Added,88860,ALIGN TECHNOLOGY INC,ALGN,2017-06-19,2022-12-30
Added,84767,ALEXANDRIA REAL EST EQUITIES INC,ARE,2017-03-20,2022-12-30
Added,76709,I D E X X LABORATORIES INC,IDXX,2017-01-05,2022-12-30
Added,86996,S B A COMMUNICATIONS CORP; S B A COMMUNICATIONS CORP NEW,SBAC,2017-09-01,2022-12-30
Added,11403,ECAD INC; CADENCE DESIGN SYSTEMS INC,"CDNS, CDNC, ECAD, CDN",2017-09-18,2022-12-30
Added,40125,D X C TECHNOLOGY CO; COMPUTER SCIENCES CORP,"CSC, DXC, CSZ",2017-04-04,2022-12-30
Added,93429,C B O E GLOBAL MARKETS INC; C B O E HOLDINGS INC,CBOE,2017-03-01,2022-12-30
Added,13760,NORWEGIAN CRUISE LINE HLDGS LTD,NCLH,2017-10-13,2022-12-30
Added,87541,PACKAGING CORP AMERICA,PKG,2017-07-26,2022-12-30
Added,77357,SYNOPSYS INC,SNPS,2017-03-16,2022-12-30
Added,75341,DUKE WEEKS REALTY CORP; DUKE REALTY INVESTMENTS INC; DUKE REALTY CORP,DRE,2017-07-26,2022-09-30
Added,13911,QUINTILES IMS HOLDINGS INC; QUINTILES TRANSNATIONAL HLDGS IN; IQVIA HOLDINGS INC,"IQV, Q",2017-08-29,2022-12-30
Added,11891,M G M MIRAGE; M G M GRAND INC; M G M RESORTS INTERNATIONAL,"MGG, MGM, MGMG",2017-07-26,2022-12-30
Added,83621,ANSYS INC,ANSS,2017-06-19,2022-12-30
Added,81696,ECHOSTAR COMMUNICATIONS CORP NEW; DISH NETWORK CORP,DISH,2017-03-13,2022-12-30
Added,61241,ADVANCED MICRO DEVICES INC,"AMDV, AMD",2017-03-20,2022-12-30
Added,81736,RESMED INC,"RESM, RMD",2017-07-26,2022-12-30
Added,79698,GARTNER INC; GARTNER GROUP INC NEW,"GART, IT",2017-04-05,2022-12-30
Added,65402,SMITH A O CORP,"AOS, SMC",2017-07-26,2022-12-30
Added,79782,REGENCY REALTY CORP; REGENCY CENTERS CORP,REG,2017-03-02,2022-12-30
Removed,79881,URBAN OUTFITTERS INC,URBN,2010-02-08,2017-03-17
Removed,10299,LINEAR TECHNOLOGY CORP,LLTC,2000-04-03,2017-03-10
Removed,92293,TERADATA CORP DE,TDC,2007-10-01,2017-06-16
Removed,20626,DOW CHEMICAL CO,DOW,1954-04-20,2017-08-31
Removed,16544,BIOVERATIV INC,BIVV,2017-02-02,2017-02-02
Removed,63765,SOUTHWESTERN ENERGY CO; ARKANSAS WESTERN GAS CO,"AGAS, SWN, SWEN",2008-06-06,2017-04-03
Removed,88436,ENDO INTERNATIONAL PLC; ENDO HEALTH SOLUTIONS INC; ENDO PHARMACEUTICALS HLDGS INC,ENDP,2015-01-27,2017-03-01
Removed,76282,AUTONATION INC DEL; REPUBLIC WASTE INDUSTRIES INC; REPUBLIC INDUSTRIES INC,"RWIN, RII, AN",2003-02-24,2017-08-07
Removed,88590,DUN & BRADSTREET CORP DEL NEW,DNB,2008-12-02,2017-04-04
Removed,92890,MEAD JOHNSON NUTRITION CO,MJN,2009-12-21,2017-06-16
Removed,47941,GANNETT CO INC; TEGNA INC,"TGNA, GCI",1975-12-11,2017-06-01
Removed,86946,REYNOLDS AMERICAN INC; REYNOLDS R J TOBACCO HLDGS INC,"RAI, RJR",2002-09-04,2017-07-25
Removed,89004,F M C TECHNOLOGIES INC,FTI,2009-06-05,2017-01-13
Removed,68591,ST JUDE MEDICAL INC,"STJ, STJM",1989-12-01,2017-01-04
Removed,27633,RYDER SYSTEMS INC,"RDR, R",1982-12-30,2017-06-16
Removed,23887,CITIZENS UTILITIES CO DEL; FRONTIER COMMUNICATIONS CORP; CITIZENS COMMUNICATIONS CO,"FTR, CITU, CZN",2001-02-27,2017-03-17
Removed,79237,SONAT OFFSHORE DRILLING INC; TRANSOCEAN SEDCO FOREX INC; TRANSOCEAN LTD; TRANSOCEAN INC NEW; TRANSOCEAN OFFSHORE INC; TRANSOCEAN INC,RIG,2013-10-29,2017-07-25
Removed,11703,DU PONT E I DE NEMOURS & CO,DD,1957-03-01,2017-08-31
Removed,75224,HARMAN INTL INDS INC NEW,"HAR, HIII",2006-02-01,2017-03-15
Removed,91611,FIRST SOLAR INC,FSLR,2009-10-16,2017-03-17
Removed,77281,WHOLE FOODS MARKET INC,"WFM, WFMI",2006-01-03,2017-08-28
Removed,83435,YAHOO INC,YHOO,1999-12-08,2017-06-16
Removed,91650,SPECTRA ENERGY CORP,SE,2007-01-03,2017-02-27
Removed,28345,MURPHY OIL CORP; MURPHY CORP,MUR,2005-08-15,2017-07-25
Removed,14011,MALLINCKRODT PLC,MNK,2014-08-19,2017-07-25
Removed,75489,STAPLES INC,SPLS,1998-10-07,2017-09-15
Removed,77659,BED BATH & BEYOND INC,BBBY,1999-10-01,2017-07-25
Removed,24459,PITNEY BOWES INC,PBI,1957-03-01,2017-02-28
Removed,85991,LEVEL 3 COMMUNICATIONS INC,LVLT,2014-11-05,2017-10-12
