Added/Removed,PERMNO,Company,Ticker,SP500 Start,SP500 End
Added,61516,BIO RAD LABORATORIES INC,BIO,2020-06-22,2022-12-30
Added,90248,DOMINOS PIZZA INC,DPZ,2020-05-12,2022-12-30
Added,51369,TERADYNE INC,"TER, TDY",2020-09-21,2022-12-30
Added,14579,PAYCOM SOFTWARE INC,PAYC,2020-01-28,2022-12-30
Added,16692,GARDNER DENVER HOLDINGS INC; INGERSOLL RAND INC,"GDI, IR",2020-03-03,2022-12-30
Added,76185,TYLER TECHNOLOGIES INC; TYLER CORP DE,TYL,2020-06-22,2022-12-30
Added,14763,CATALENT INC,CTLT,2020-09-21,2022-12-30
Added,90664,DEXCOM INC,DXCM,2020-05-12,2022-12-30
Added,82515,S C P POOL CORP; POOL CORP,POOL,2020-10-07,2022-12-30
Added,19285,CARRIER GLOBAL CORP,CARR,2020-04-03,2022-12-30
Added,19286,OTIS WORLDWIDE CORP,OTIS,2020-04-03,2022-12-30
Added,15291,ETSY INC,ETSY,2020-09-21,2022-12-30
Added,62498,WEST PHARMACEUTICAL SERVICES INC; WEST INC,"WSTC, WST",2020-05-22,2022-12-30
Added,93436,TESLA INC; TESLA MOTORS INC,TSLA,2020-12-21,2022-12-30
Added,19807,VONTIER CORP,VNT,2020-10-09,2021-03-19
Added,87445,TELEDYNE TECHNOLOGIES,TDY,2020-06-22,2022-12-30
Added,20057,VIATRIS INC,VTRS,2020-11-17,2022-12-30
Added,20191,APARTMENT INCOME REIT CORP,AIRC,2020-12-15,2020-12-18
Removed,90272,WELLCARE HEALTH PLANS INC; WELLCARE GROUP INC,WCG,2018-09-17,2020-01-27
Removed,49373,BLOCK H & R INC,HRB,1986-11-28,2020-09-18
Removed,24942,RAYTHEON MANUFACTURING CO; RAYTHEON CO,RTN,1957-03-01,2020-04-03
Removed,61815,NOBLE AFFILIATES INC; NOBLE ENERGY INC,"NOBL, NBL",2007-10-08,2020-10-09
Removed,70033,HARLEY DAVIDSON INC,"HDI, HOG",2000-01-31,2020-06-19
Removed,57817,NORDSTROM BEST INC; NORDSTROM INC,"NOBE, JWN",1986-08-07,2020-06-19
Removed,80711,APARTMENT INVESTMENT & MGMT CO,AIV,2003-03-14,2020-12-18
Removed,13142,MICHAEL KORS HOLDINGS LTD; CAPRI HOLDINGS LTD,"CPRI, KORS",2013-11-13,2020-05-11
Removed,89002,ALLIANCE DATA SYSTEMS CORP; BREAD FINANCIAL HOLDINGS INC,"BFH, ADS",2013-12-23,2020-06-19
Removed,78916,ALLERGAN PLC; ACTAVIS INC; ACTAVIS PLC; WATSON PHARMACEUTICALS INC,"WPI, WATS, ACT, AGN",1999-04-12,2020-05-11
Removed,89509,CIMAREX ENERGY CO,XEC,2014-06-23,2020-03-02
Removed,77462,FEDERATED DEPARTMENT STRS INC NE; FEDERATED DEPT STORES INC DEL; MACYS INC,"FD, M",1995-12-01,2020-04-03
Removed,13983,COTY INC,COTY,2016-10-03,2020-09-18
Removed,20191,APARTMENT INCOME REIT CORP,AIRC,2020-12-15,2020-12-18
Removed,77606,KOHLS CORP,KSS,1998-08-14,2020-09-18
Removed,83862,E TRADE FINANCIAL CORP; E TRADE GROUP INC,"ET, EGRP, ETFC",2004-04-01,2020-10-06
Removed,69550,MYLAN INC; MYLAN LABS INC; MYLAN N V,"MYL, MYLN",2004-04-23,2020-11-16
Removed,32707,HELMERICH & PAYNE INC,HP,2010-03-01,2020-05-21
