Added/Removed,PERMNO,Company,Ticker,SP500 Start,SP500 End
Added,75828,ELECTRONIC ARTS INC; ELECTRONIC ARTS,"ERTS, EA",2002-07-22,2022-12-30
Added,80100,SIMON DEBARTOLO GROUP INC; SIMON PROPERTY GROUP INC NEW; SIMON PROPERTY GROUP INC,SPG,2002-06-26,2022-12-30
Added,86356,EBAY INC,EBAY,2002-07-22,2022-12-30
Added,84373,QUEST DIAGNOSTICS INC,DGX,2002-12-12,2022-12-30
Added,76240,B J SERVICES CO,BJS,2002-05-15,2010-04-29
Added,51706,MARSHALL & ILSLEY CORP; MARSHALL & ILSLEY CORP NEW,"MRIS, MI",2002-02-11,2011-07-05
Added,88668,MONSANTO CO NEW,MON,2002-08-14,2018-06-06
Added,80515,RATIONAL SOFTWARE CORP; VERDIX CORP,"RATL, VRDX",2002-02-01,2003-02-21
Added,82651,WATERS CORP,WAT,2002-01-02,2022-12-30
Added,58094,NORTH FORK BANCORPORATION NY; NORTH FORK BANCORPORATION NY INC,"NFBC, NFB",2002-07-17,2006-11-30
Added,86868,GOLDMAN SACHS GROUP INC,GS,2002-07-22,2022-12-30
Added,86946,REYNOLDS AMERICAN INC; REYNOLDS R J TOBACCO HLDGS INC,"RAI, RJR",2002-09-04,2017-07-25
Added,89179,ANTHEM INC; WELLPOINT INC; ELEVANCE HEALTH INC,"ELV, ANTM, WLP, ATH",2002-07-25,2022-12-30
Added,89195,PRINCIPAL FINANCIAL GROUP INC,PFG,2002-07-22,2022-12-30
Added,89258,PRUDENTIAL FINANCIAL INC,PRU,2002-07-22,2022-12-30
Added,79057,ACE LTD; CHUBB LTD; ACE LTD NEW,"ACL, ACE, CB",2002-01-30,2008-07-17
Added,81138,APOLLO GROUP INC; APOLLO EDUCATION GROUP INC,"APOL, APOLA",2002-05-15,2013-06-28
Added,81285,TRANE INC; AMERICAN STANDARD COS INC DEL,"TT, ASD",2002-05-13,2008-06-05
Added,87447,UNITED PARCEL SERVICE INC,UPS,2002-07-22,2022-12-30
Added,89495,TRAVELERS PPTY CASUALTY CORP NEW,TAP,2002-08-21,2004-04-01
Added,89525,COMCAST CORP NEW,CMCSA,2002-11-19,2022-12-30
Added,36397,FIRST TENNESSEE NATIONAL CORP; FIRST HORIZON CORP; FIRST HORIZON NATIONAL CORP,"FTEN, FHN, FTN",2002-05-06,2013-06-21
Added,75592,PLUM CREEK TIMBER CO INC; PLUM CREEK TIMBER CO L P,PCL,2002-01-17,2016-02-19
Added,10108,SUNGARD DATA SYSTEMS INC,"SNDT, SDS",2002-07-22,2005-08-11
Removed,28847,USAIR GROUP INC; ALLEGHENY AIRLINES INC; U S AIR INC; U S AIRWAYS GROUP INC,"ALA, U",1986-12-18,2002-05-14
Removed,18681,THOMPSON PRODS INC; THOMPSON RAMO WOOLRIDGE INC; T R W INC; THOMPSON RAMO WOOLDRIDGE INC,TRW,1964-02-20,2002-12-11
Removed,12546,INCO LTD; INTERNATIONAL NICKEL CO CDA LTD,N,1925-12-31,2002-07-19
Removed,12749,K MART CORP; KRESGE S S CO,"KG, KM",1957-03-01,2002-01-16
Removed,86496,CONEXANT SYSTEMS INC,CNXT,2000-01-31,2002-06-25
Removed,43610,IMMUNEX CORP; IMMUNEX CORP NEW,IMNX,2001-09-21,2002-07-16
Removed,25267,ROYAL DUTCH PETROLEUM CO,RD,1957-03-01,2002-07-19
Removed,68347,COMPAQ COMPUTER CORP,"CMPQ, CPQ",1988-02-25,2002-05-03
Removed,11042,WORLDCOM INC GA NEW; ADVANTAGE COS INC; L D D S COMMUNICATIONS INC GA; M C I WORLDCOM INC; L D D S COMMUNICATIONS INC; WORLDCOM INC GA,"LDDSA, ADCO, WCOM, LDDS",1996-04-01,2002-05-14
Removed,86976,CONSECO INC,"CNCO, CNC",1997-01-15,2002-07-24
Removed,87029,CONOCO INC,COC,1999-08-09,2002-08-30
Removed,82959,WILLAMETTE INDUSTRIES INC,"WLL, WMTT",1995-08-18,2002-02-08
Removed,58640,NORTEL NETWORKS CORP NEW; NORTHERN TELECOM LTD; NORTHERN ELECTRIC LTD; NORTEL NETWORKS CORP,"NE, NT",1980-11-20,2002-07-19
Removed,77173,VTIESSE SEMICONDUCTOR CORP; VITESSE SEMICONDUCTOR CORP,VTSS,2000-12-12,2002-08-20
Removed,75181,PLACER DOME INC,PDG,1987-08-20,2002-07-19
Removed,19895,MEAD CORP,MEA,1957-03-01,2002-01-29
Removed,83413,SAPIENT CORP,SAPE,2000-05-05,2002-05-10
Removed,24184,NIAGARA MOHAWK POWER CORP; NIAGARA MOHAWK HOLDINGS INC,NMK,1957-03-01,2002-01-31
Removed,71298,AMERICAN BARRICK RESOURCES CORP; BARRICK RESOURCES CORP; BARRICK GOLD CORP,"ABXFF, ABX, GOLD, BRCFF",1993-11-15,2002-07-19
Removed,28310,UNILEVER N V,UN,1961-12-06,2002-07-19
Removed,24264,ALCAN INC; ALCAN ALUMINUM LTD; ALUMINUM LTD,AL,1957-03-01,2002-07-19
Removed,11997,COMCAST CORP,CMCSK,1993-12-13,2002-11-18
Removed,87800,PALM INC; PALMONE INC,"PALM, PLMO",2000-07-28,2002-08-13
