Added/Removed,PERMNO,Company,Ticker,SP500 Start,SP500 End
Added,12345,LYONDELLBASELL INDUSTRIES N V,LYB,2012-09-05,2022-12-30
Added,12558,KINDER MORGAN INC,KMI,2012-05-25,2022-12-30
Added,86339,CROWN CASTLE INTERNATIONAL CORP; CROWN CASTLE INC; CROWN CASTLE INTL CORP NEW,"TWRS, CCI",2012-03-14,2022-12-30
Added,88837,GARMIN LTD,GRMN,2012-12-12,2022-12-30
Added,13103,APTIV PLC; DELPHI AUTOMOTIVE PLC,"APTV, DLPH",2012-12-24,2022-12-30
Added,13141,W P X ENERGY INC,WPX,2012-01-03,2014-03-21
Added,93096,DOLLAR GENERAL CORP NEW,DG,2012-12-03,2022-12-30
Added,93159,E N S C O ROWAN PLC; E N S C O PLC NEW; VALARIS PLC,"VAL, ESV",2012-07-31,2016-03-29
Added,13356,PHILLIPS 66,PSX,2012-05-01,2022-12-30
Added,83111,ALEXION PHARMACEUTICALS INC,ALXN,2012-05-25,2021-07-20
Added,79089,FOSSIL INC; FOSSIL GROUP INC,FOSL,2012-04-04,2016-01-04
Added,13567,A D T CORP,ADT,2012-10-01,2016-05-02
Added,13586,PENTAIR PLC; PENTAIR LTD,PNR,2012-10-01,2022-12-30
Added,13598,KRAFT FOODS GROUP INC,KRFT,2012-10-02,2015-07-02
Added,48486,LAM RESH CORP,LRCX,2012-06-05,2022-12-30
Added,89641,SEAGATE TECHNOLOGY HOLDINGS PLC; SEAGATE TECHNOLOGY HOLDINGS; SEAGATE TECHNOLOGY; SEAGATE TECHNOLOGY PLC,STX,2012-07-02,2022-12-30
Added,79411,PETSMART INC,PETM,2012-10-05,2015-03-11
Added,88031,CONTINENTAL VENTURES INC; UNIPAC CORP; FIRST STOP PROFESSIONAL SVCS; MONSTER BEVERAGE CORP NEW; HANSEN NATURAL CORP; MONSTER BEVERAGE CORP,"UNIP, FIST, HANS, MNST, COVI",2012-06-29,2022-12-30
Removed,86102,FEDERATED HERMES INC; FEDERATED INVESTORS INC PA,"FHI, FII",2003-04-16,2012-12-31
Removed,12456,MOTOROLA MOBILITY HOLDINGS INC,MMI,2011-01-04,2012-05-24
Removed,22840,CONSOLIDATED GROCERS CORP; CONSOLIDATED FOODS CORP; HILLSHIRE BRANDS CO; SARA LEE CORP,"CFD, HSH, SLE",1981-09-10,2012-06-28
Removed,14656,SUNOCO INC; SUN INC; SUN OIL CO,SUN,1969-03-06,2012-10-04
Removed,90547,ALPHA NATURAL RESOURCES INC,ANR,2011-06-02,2012-10-01
Removed,23114,C P & L ENERGY INC; CAROLINA POWER & LIGHT CO; PROGRESS ENERGY INC,"CPL, PGN",1989-08-24,2012-06-29
Removed,82643,LEXMARK INTERNATIONAL GROUP INC; LEXMARK INTERNATIONAL INC NEW,LXK,1999-08-13,2012-09-28
Removed,76708,DEVRY EDUCATION GROUP INC; ADTALEM GLOBAL EDUCATION INC; DEVRY INC DEL,"DV, DVRY, ATGE",2009-06-09,2012-09-28
Removed,21979,COOPER INDUSTRIES LTD; COOPER INDUSTRIES PLC; COOPER INDUSTRIES INC; COOPER BESSEMER CORP,CBE,2011-11-23,2012-11-30
Removed,24221,CONSOLIDATED GAS ELEC LT & PWR; BALTIMORE GAS & ELECTRIC CO; CONSTELLATION ENERGY GROUP INC,"CEG, BGE",1957-03-01,2012-03-13
Removed,89757,SEARS HOLDINGS CORP; KMART HOLDING CORP,"KMRT, SHLD",2005-03-28,2012-09-04
Removed,77481,EL PASO NATURAL GAS CO; EL PASO CORP; EL PASO ENERGY CORP DEL,"EP, EPG",1999-10-26,2012-05-24
Removed,89813,MEDCO HEALTH SOLUTIONS INC,MHS,2003-08-20,2012-04-03
Removed,83699,TITANIUM METALS CORP,"TIE, TIMT",2007-10-29,2012-12-21
Removed,38682,DONNELLEY R R & SONS CO,"RRD, DNY, DON",1984-07-19,2012-12-11
Removed,12067,NOVELLUS SYSTEMS INC,NVLS,2000-06-19,2012-06-04
Removed,12140,GOODRICH CORP; GOODRICH B F CO,GR,1957-03-01,2012-07-30
Removed,44951,SUPERVALU INC; SUPER VALU STORES INC,SVU,1985-01-31,2012-04-30
