Added/Removed,PERMNO,Company,Ticker,SP500 Start,SP500 End
Added,12369,GENERAL MOTORS CO,GM,2013-06-07,2022-12-30
Added,12542,NIELSEN HOLDINGS PLC; NIELSEN HOLDINGS N V; NIELSEN N V,NLSN,2013-07-09,2022-10-11
Added,12650,KANSAS CITY SOUTHERN; KANSAS CITY SOUTHERN RY CO; KANSAS CITY SOUTHERN INDS INC,KSU,2013-05-24,2021-12-13
Added,80399,MACERICH CO,MAC,2013-05-09,2019-12-20
Added,76614,REGENERON PHARMACEUTICALS INC,REGN,2013-05-01,2022-12-30
Added,13142,MICHAEL KORS HOLDINGS LTD; CAPRI HOLDINGS LTD,"CPRI, KORS",2013-11-13,2020-05-11
Added,89002,ALLIANCE DATA SYSTEMS CORP; BREAD FINANCIAL HOLDINGS INC,"BFH, ADS",2013-12-23,2020-06-19
Added,76744,VERTEX PHARMACEUTICALS INC,VRTX,2013-09-23,2022-12-30
Added,13407,FACEBOOK INC; META PLATFORMS INC,"FB, META",2013-12-23,2022-12-30
Added,85257,AMETEK INC NEW,AME,2013-09-23,2022-12-30
Added,79129,GENERAL GROWTH PROPERTIES INC; G G P INC; GENERAL GROWTH PPTYS INC NEW; BROOKFIELD PROPERTY REIT INC,"BPR, GGP, BPYU",2013-12-10,2018-08-27
Added,79237,SONAT OFFSHORE DRILLING INC; TRANSOCEAN SEDCO FOREX INC; TRANSOCEAN LTD; TRANSOCEAN INC NEW; TRANSOCEAN OFFSHORE INC; TRANSOCEAN INC,RIG,2013-10-29,2017-07-25
Added,13721,ABBVIE INC,ABBV,2013-01-02,2022-12-30
Added,13788,ZOETIS INC,ZTS,2013-06-24,2022-12-30
Added,13936,PHILLIPS JONES CORP; PHILLIPS VAN HEUSEN CORP; P V H CORP,PVH,2013-02-14,2022-09-16
Added,13963,NEWS CORP NEW,NWSA,2013-07-01,2022-12-30
Added,77496,MOHAWK INDUSTRIES INC,"MOHK, MHK",2013-12-23,2022-12-30
Added,91926,DELTA AIR LINES INC,DAL,2013-09-11,2022-12-30
Added,14297,ALLEGION PLC,ALLE,2013-12-02,2022-12-30
Removed,79879,UNIPHASE CORP; VIAVI SOLUTIONS INC; J D S UNIPHASE CORP,"JDSU, VIAV, UNPH",2000-07-27,2013-12-20
Removed,83976,ABERCROMBIE & FITCH CO,ANF,2007-03-29,2013-12-20
Removed,51369,TERADYNE INC,"TER, TDY",1999-11-15,2013-12-20
Removed,39087,UNITED UTILITIES INC; UNITED TELECOMMUNICATIONS INC; SPRINT CORP; SPRINT NEXTEL CORP,"FON, S, UT",1989-07-27,2013-07-08
Removed,23077,HEINZ H J CO,HNZ,1957-03-01,2013-06-06
Removed,11081,DELL COMPUTER CORP; DELL INC,DELL,1996-09-06,2013-10-28
Removed,76619,COVENTRY HEALTH CARE INC; COVENTRY CORP,"CVH, CVTY",2005-08-30,2013-05-08
Removed,91143,N Y S E GROUP INC; N Y S E EURONEXT,NYX,2007-10-25,2013-11-12
Removed,81138,APOLLO GROUP INC; APOLLO EDUCATION GROUP INC,"APOL, APOLA",2002-05-15,2013-06-28
Removed,91547,S A I C INC; LEIDOS HOLDINGS INC,"SAI, LDOS",2009-12-21,2013-09-20
Removed,83421,DEAN FOODS CO NEW; SUIZA FOODS CORP,"SWZA, SZA, DF",2006-04-03,2013-05-23
Removed,54827,MOLEX INC,MOLX,1999-12-01,2013-12-09
Removed,36397,FIRST TENNESSEE NATIONAL CORP; FIRST HORIZON CORP; FIRST HORIZON NATIONAL CORP,"FTEN, FHN, FTN",2002-05-06,2013-06-21
Removed,11976,B M C SOFTWARE INC,"BMCS, BMC",1998-10-01,2013-09-10
Removed,91937,METROPCS COMMUNICATIONS INC; T MOBILE U S INC,"TMUS, PCS",2009-06-30,2013-04-30
Removed,61241,ADVANCED MICRO DEVICES INC,"AMDV, AMD",1984-06-21,2013-09-20
Removed,67467,BIG LOTS INC; CONSOLIDATED STORES CORP,"BIG, BLI, CNS",1998-01-20,2013-02-13
Removed,18403,PENNEY J C CO INC; PENNEY J C INC,JCP,1957-03-01,2013-11-29
