Symbol,Name,AUM,Avg Daily Share Volume (3mo)
GDX,VanEck Gold Miners ETF,"$33,589,400.00 ","27,076,709"
DYNF,iShares U.S. Equity Factor Rotation Active ETF,"$33,402,800.00 ","3,596,043"
GLDM,SPDR Gold Minishares Trust of beneficial interest,"$33,365,500.00 ","11,586,841"
SPYV,State Street SPDR Portfolio S&P 500 Value ETF,"$33,037,100.00 ","3,245,774"
VGK,Vanguard FTSE Europe ETF,"$31,379,100.00 ","3,235,426"
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,"$31,248,600.00 ","32,345,000"
XLI,State Street Industrial Select Sector SPDR ETF,"$30,881,800.00 ","11,335,115"
CGDV,Capital Group Dividend Value ETF,"$30,668,000.00 ","5,417,859"
EFV,iShares MSCI EAFE Value ETF,"$30,068,000.00 ","2,736,777"
MGK,Vanguard Mega Cap Growth ETF,"$29,369,500.00 ","558,846"
IDEV,iShares Core MSCI International Developed Markets ETF,"$28,723,100.00 ","2,547,833"
OEF,iShares S&P 100 ETF,"$28,717,000.00 ","595,325"
ACWI,iShares MSCI ACWI ETF,"$28,641,200.00 ","5,166,962"
BIV,Vanguard Intermediate-Term Bond ETF,"$28,629,100.00 ","2,138,597"
VGSH,Vanguard Short-Term Treasury ETF,"$28,306,700.00 ","3,458,282"
EEM,iShares MSCI Emerging Markets ETF,"$28,295,700.00 ","39,250,961"
TQQQ,ProShares UltraPro QQQ,"$27,516,900.00 ","91,447,578"
IUSG,iShares Core S&P U.S. Growth ETF,"$27,175,600.00 ","719,043"
JAAA,Janus Henderson AAA CLO ETF,"$27,082,700.00 ","7,022,631"
USHY,iShares Broad USD High Yield Corporate Bond ETF,"$26,952,500.00 ","11,938,138"
XLC,State Street Communication Services Select Sector SPDR ETF,"$26,925,500.00 ","6,838,008"
VXF,Vanguard Extended Market ETF,"$26,474,500.00 ","492,790"
MDY,State Street SPDR S&P MIDCAP 400 ETF Trust,"$25,190,600.00 ","1,017,497"
