Date,Value
1949-02-01,14.62
1949-03-01,15.06
1949-04-01,14.74
1949-05-01,14.19
1949-06-01,14.16
1949-07-01,15.04
1949-08-01,15.22
1949-09-01,15.58
1949-10-01,16.04
1949-11-01,16.06
1949-12-01,16.76
1950-01-01,17.05
1950-02-01,17.22
1950-03-01,17.29
1950-04-01,18.07
1950-05-01,18.78
1950-06-01,17.69
1950-07-01,17.84
1950-08-01,18.42
1950-09-01,19.45
1950-10-01,19.53
1950-11-01,19.51
1950-12-01,20.41
1951-01-01,21.66
1951-02-01,21.8
1951-03-01,21.4
1951-04-01,22.43
1951-05-01,21.52
1951-06-01,20.96
1951-07-01,22.4
1951-08-01,23.28
1951-09-01,23.26
1951-10-01,22.94
1951-11-01,22.88
1951-12-01,23.77
1952-01-01,24.14
1952-02-01,23.26
1952-03-01,24.37
1952-04-01,23.32
1952-05-01,23.86
1952-06-01,24.96
1952-07-01,25.4
1952-08-01,25.03
1952-09-01,24.54
1952-10-01,24.52
1952-11-01,25.66
1952-12-01,26.57
1953-01-01,26.38
1953-02-01,25.9
1953-03-01,25.29
1953-04-01,24.62
1953-05-01,24.54
1953-06-01,24.14
1953-07-01,24.75
1953-08-01,23.32
1953-09-01,23.35
1953-10-01,24.54
1953-11-01,24.76
1953-12-01,24.81
1954-01-01,26.08
1954-02-01,26.15
1954-03-01,26.94
1954-04-01,28.26
1954-05-01,29.19
1954-06-01,29.21
1954-07-01,30.88
1954-08-01,29.83
1954-09-01,32.31
1954-10-01,31.68
1954-11-01,34.24
1954-12-01,35.98
1955-01-01,36.63
1955-02-01,36.76
1955-03-01,36.58
1955-04-01,37.96
1955-05-01,37.91
1955-06-01,41.03
1955-07-01,43.52
1955-08-01,43.18
1955-09-01,43.67
1955-10-01,42.34
1955-11-01,45.51
1955-12-01,45.48
1956-01-01,43.82
1956-02-01,45.34
1956-03-01,48.48
1956-04-01,48.38
1956-05-01,45.2
1956-06-01,46.97
1956-07-01,49.39
1956-08-01,47.51
1956-09-01,45.35
1956-10-01,45.58
1956-11-01,45.08
1956-12-01,46.67
1957-01-01,44.72
1957-02-01,43.26
1957-03-01,44.11
1957-04-01,45.74
1957-05-01,47.43
1957-06-01,47.37
1957-07-01,47.91
1957-08-01,45.22
1957-09-01,42.42
1957-10-01,41.06
1957-11-01,41.72
1957-12-01,39.99
1958-01-01,41.7
1958-02-01,40.84
1958-03-01,42.1
1958-04-01,43.44
1958-05-01,44.09
1958-06-01,45.24
1958-07-01,47.19
1958-08-01,47.75
1958-09-01,50.06
1958-10-01,51.33
1958-11-01,52.48
1958-12-01,55.21
1959-01-01,55.45
1959-02-01,55.41
1959-03-01,55.44
1959-04-01,57.59
1959-05-01,58.68
1959-06-01,58.47
1959-07-01,60.51
1959-08-01,59.6
1959-09-01,56.88
1959-10-01,57.52
1959-11-01,58.28
1959-12-01,59.89
1960-01-01,55.61
1960-02-01,56.12
1960-03-01,55.34
1960-04-01,54.37
1960-05-01,55.83
1960-06-01,56.92
1960-07-01,55.51
1960-08-01,56.96
1960-09-01,53.52
1960-10-01,53.39
1960-11-01,55.54
1960-12-01,58.11
1961-01-01,61.78
1961-02-01,63.44
1961-03-01,65.06
1961-04-01,65.31
1961-05-01,66.56
1961-06-01,64.64
1961-07-01,66.76
1961-08-01,68.07
1961-09-01,66.73
1961-10-01,68.62
1961-11-01,71.32
1961-12-01,71.55
1962-01-01,68.84
1962-02-01,69.96
1962-03-01,69.55
1962-04-01,65.24
1962-05-01,59.63
1962-06-01,54.75
1962-07-01,58.23
1962-08-01,59.12
1962-09-01,56.27
1962-10-01,56.52
1962-11-01,62.26
1962-12-01,63.1
1963-01-01,66.2
1963-02-01,64.29
1963-03-01,66.57
1963-04-01,69.8
1963-05-01,70.8
1963-06-01,69.37
1963-07-01,69.13
1963-08-01,72.5
1963-09-01,71.7
1963-10-01,74.01
1963-11-01,73.23
1963-12-01,75.02
1964-01-01,77.04
1964-02-01,77.8
1964-03-01,78.98
1964-04-01,79.46
1964-05-01,80.37
1964-06-01,81.69
1964-07-01,83.18
1964-08-01,81.83
1964-09-01,84.18
1964-10-01,84.86
1964-11-01,84.42
1964-12-01,84.75
1965-01-01,87.56
1965-02-01,87.43
1965-03-01,86.16
1965-04-01,89.11
1965-05-01,88.42
1965-06-01,84.12
1965-07-01,85.25
1965-08-01,87.17
1965-09-01,89.96
1965-10-01,92.42
1965-11-01,91.61
1965-12-01,92.43
1966-01-01,92.88
1966-02-01,91.22
1966-03-01,89.23
1966-04-01,91.06
1966-05-01,86.13
1966-06-01,84.74
1966-07-01,83.6
1966-08-01,77.1
1966-09-01,76.56
1966-10-01,80.2
1966-11-01,80.45
1966-12-01,80.33
1967-01-01,86.61
1967-02-01,86.78
1967-03-01,90.2
1967-04-01,94.01
1967-05-01,89.08
1967-06-01,90.64
1967-07-01,94.75
1967-08-01,93.64
1967-09-01,96.71
1967-10-01,93.3
1967-11-01,94
1967-12-01,96.47
1968-01-01,92.24
1968-02-01,89.36
1968-03-01,90.2
1968-04-01,97.46
1968-05-01,98.68
1968-06-01,99.58
1968-07-01,97.74
1968-08-01,98.86
1968-09-01,102.67
1968-10-01,103.41
1968-11-01,108.37
1968-12-01,103.86
1969-01-01,103.01
1969-02-01,98.13
1969-03-01,101.51
1969-04-01,103.69
1969-05-01,103.46
1969-06-01,97.71
1969-07-01,91.83
1969-08-01,95.51
1969-09-01,93.12
1969-10-01,97.12
1969-11-01,93.81
1969-12-01,92.06
1970-01-01,85.02
1970-02-01,89.5
1970-03-01,89.63
1970-04-01,81.52
1970-05-01,76.55
1970-06-01,72.72
1970-07-01,78.05
1970-08-01,81.52
1970-09-01,84.3
1970-10-01,83.25
1970-11-01,87.2
1970-12-01,92.15
1971-01-01,95.88
1971-02-01,96.75
1971-03-01,100.31
1971-04-01,103.95
1971-05-01,99.63
1971-06-01,98.7
1971-07-01,95.58
1971-08-01,99.03
1971-09-01,98.34
1971-10-01,94.23
1971-11-01,93.99
1971-12-01,102.09
1972-01-01,103.94
1972-02-01,106.57
1972-03-01,107.2
1972-04-01,107.67
1972-05-01,109.53
1972-06-01,107.14
1972-07-01,107.39
1972-08-01,111.09
1972-09-01,110.55
