Rank,Symbol,Company,Market Cap,Price,Change,Revenue
88,HOOD,"Robinhood Markets, Inc.",130.71B,147.08,0.20%,3.57B
89,UNP,Union Pacific Corporation,129.80B,218.82,-0.70%,24.55B
90,HON,Honeywell International Inc.,125.56B,197.77,-1.77%,40.67B
91,WELL,Welltower Inc.,125.13B,182.32,0.71%,9.91B
92,DE,Deere & Company,124.88B,461.94,0.07%,44.25B
93,PGR,The Progressive Corporation,119.45B,203.7,-1.12%,85.17B
94,PLD,"Prologis, Inc.",118.16B,124.22,0.10%,9.10B
95,CEG,Constellation Energy Corporation,118.00B,377.71,0.19%,24.82B
96,MDT,Medtronic plc,115.70B,90.2,-0.55%,34.20B
97,ADI,"Analog Devices, Inc.",114.93B,233.61,-0.22%,10.39B
98,LMT,Lockheed Martin Corporation,112.91B,487.94,-0.80%,73.35B
99,COP,ConocoPhillips,110.62B,88.57,-0.33%,59.39B
100,CB,Chubb Limited,109.51B,278.25,0.47%,58.84B
101,VRTX,Vertex Pharmaceuticals Incorporated,108.20B,426,0.10%,11.72B
102,DELL,Dell Technologies Inc.,107.31B,160.11,-1.17%,101.45B
103,HCA,"HCA Healthcare, Inc.",105.33B,461.56,0.41%,74.37B
104,KKR,KKR & Co. Inc.,104.80B,117.63,-0.59%,21.42B
105,ADP,"Automatic Data Processing, Inc.",104.01B,257.17,-1.20%,20.90B
106,DASH,"DoorDash, Inc.",103.40B,242.05,-4.84%,11.90B
107,SO,The Southern Company,102.57B,93.15,-0.95%,28.91B
108,MCK,McKesson Corporation,102.03B,820.29,1.10%,377.60B
109,CVS,CVS Health Corporation,99.57B,78.44,0.37%,391.69B
110,TT,Trane Technologies plc,98.96B,446.31,-0.52%,21.05B
111,CMCSA,Comcast Corporation,98.31B,26.98,-3.09%,123.31B
112,PH,Parker-Hannifin Corporation,97.68B,771.88,-0.12%,19.85B
113,DUK,Duke Energy Corporation,96.17B,123.67,-0.51%,30.85B
114,CME,CME Group Inc.,95.26B,264.16,-0.50%,6.39B
115,MO,"Altria Group, Inc.",95.13B,56.67,0.51%,20.17B
116,BMY,Bristol-Myers Squibb Company,93.69B,46.02,-0.11%,48.03B
117,NKE,"NIKE, Inc.",92.61B,62.65,-3.00%,46.44B
118,GD,General Dynamics Corporation,92.21B,341.87,-0.88%,51.51B
119,SBUX,Starbucks Corporation,92.04B,80.96,0.11%,36.69B
120,CDNS,"Cadence Design Systems, Inc.",91.30B,335.41,-0.97%,5.21B
121,COIN,"Coinbase Global, Inc.",89.10B,330.42,-3.89%,7.37B
122,NEM,Newmont Corporation,89.07B,81.62,0.80%,21.50B
123,MMC,"Marsh & McLennan Companies, Inc.",86.78B,177.13,-0.57%,26.45B
124,MCO,Moody's Corporation,86.69B,485.95,1.18%,7.50B
125,MMM,3M Company,86.16B,162.19,-2.59%,24.83B
126,SHW,The Sherwin-Williams Company,85.19B,345.64,0.20%,23.28B
127,HWM,Howmet Aerospace Inc.,83.12B,206.74,0.38%,7.98B
128,ICE,"Intercontinental Exchange, Inc.",83.01B,145.59,-0.48%,9.75B
129,SNPS,"Synopsys, Inc.",82.79B,445.72,-1.78%,6.44B
130,AMT,American Tower Corporation,82.69B,176.64,-1.31%,10.45B
131,NOC,Northrop Grumman Corporation,82.12B,575.41,-1.38%,40.93B
132,EQIX,"Equinix, Inc.",81.77B,832.84,-1.56%,9.08B
133,UPS,"United Parcel Service, Inc.",79.75B,94.09,-2.42%,89.48B
134,WM,"Waste Management, Inc.",79.27B,196.77,-1.50%,24.78B
135,EMR,Emerson Electric Co.,78.81B,140.03,0.33%,17.78B
136,ORLY,"O'Reilly Automotive, Inc.",77.65B,91.7,-2.90%,17.46B
137,ABNB,"Airbnb, Inc.",77.63B,126.8,0.21%,11.58B
