Rank,Symbol,Company,Market Cap,Price,Change,Revenue
370,L,Loews Corporation,20.62B,99.42,-0.14%,18.27B
371,WAT,Waters Corporation,20.57B,345.59,-1.15%,3.05B
372,DLTR,"Dollar Tree, Inc.",20.35B,100.85,1.75%,18.55B
373,NI,NiSource Inc.,20.32B,42.58,1.12%,6.33B
374,ON,ON Semiconductor Corporation,20.30B,50.46,0.76%,6.19B
375,CDW,CDW Corporation,20.29B,154.83,-2.85%,21.88B
376,NVR,"NVR, Inc.",20.23B,"7,072.32",-1.92%,10.58B
377,WST,"West Pharmaceutical Services, Inc.",20.13B,279.78,-0.81%,3.02B
378,TYL,"Tyler Technologies, Inc.",20.09B,467.02,-1.94%,2.30B
379,INCY,Incyte Corporation,19.94B,101.57,8.65%,4.81B
380,DGX,Quest Diagnostics Incorporated,19.89B,178.84,1.64%,10.85B
381,ZBH,"Zimmer Biomet Holdings, Inc.",19.79B,99.88,-0.68%,7.83B
382,LULU,lululemon athletica inc.,19.62B,165.47,-2.97%,10.90B
383,KEY,KeyCorp,19.52B,17.54,-0.28%,5.93B
384,IP,International Paper Company,19.50B,36.93,-4.43%,24.33B
385,RL,Ralph Lauren Corporation,19.08B,314.95,-1.47%,7.29B
386,SW,Smurfit Westrock Plc,19.04B,36.57,-0.95%,31.14B
387,TRMB,Trimble Inc.,18.94B,79.57,-0.23%,3.58B
388,BG,Bunge Global SA,18.81B,94.02,-0.61%,50.86B
389,GPN,Global Payments Inc.,18.71B,77.1,-0.85%,10.07B
390,IT,"Gartner, Inc.",18.62B,245.92,-0.97%,6.42B
391,CTRA,Coterra Energy Inc.,18.61B,24.39,3.09%,6.87B
392,CPAY,"Corpay, Inc.",18.60B,263.36,1.16%,4.17B
393,J,Jacobs Solutions Inc.,18.44B,154.25,-1.00%,11.84B
394,TSN,"Tyson Foods, Inc.",18.37B,51.63,0.43%,54.15B
395,GDDY,GoDaddy Inc.,18.25B,135.02,1.42%,4.87B
396,PFG,"Principal Financial Group, Inc.",18.24B,83.02,-1.21%,15.80B
397,AMCR,Amcor plc,18.14B,7.86,-0.51%,15.01B
398,CHRW,"C.H. Robinson Worldwide, Inc.",17.97B,152.15,-1.19%,16.50B
399,EVRG,"Evergy, Inc.",17.78B,77.27,0.60%,5.88B
400,APTV,Aptiv PLC,17.67B,81.77,0.83%,20.15B
401,SNA,Snap-on Incorporated,17.57B,337.78,0.66%,5.12B
402,PNR,Pentair plc,17.48B,106.84,0.46%,4.13B
403,PKG,Packaging Corporation of America,17.48B,195.59,-0.09%,8.77B
404,INVH,Invitation Homes Inc.,17.44B,28.36,0.75%,2.69B
405,LII,Lennox International Inc.,17.32B,493.88,-2.20%,5.35B
406,GPC,Genuine Parts Company,17.20B,123.61,-2.91%,24.06B
407,MKC,"McCormick & Company, Incorporated",17.13B,63.84,-0.50%,6.79B
408,BBY,"Best Buy Co., Inc.",17.13B,81.52,-0.75%,41.60B
409,LNT,Alliant Energy Corporation,17.09B,66.47,-0.52%,4.14B
410,CNC,Centene Corporation,16.96B,34.5,-2.46%,167.68B
411,ESS,"Essex Property Trust, Inc.",16.95B,254.32,1.01%,1.92B
412,PSKY,Paramount Skydance Corporation,16.90B,15.42,0.19%,28.76B
413,EXPD,"Expeditors International of Washington, Inc.",16.62B,122.46,0.46%,11.27B
414,DOW,Dow Inc.,16.51B,23.23,-2.60%,40.91B
415,HOLX,"Hologic, Inc.",16.48B,74.06,0.20%,4.10B
416,WY,Weyerhaeuser Company,16.23B,22.51,-2.13%,7.07B
417,GEN,Gen Digital Inc.,16.19B,26.28,-0.30%,4.23B
418,JBHT,"J.B. Hunt Transport Services, Inc.",16.16B,169.75,0.53%,12.05B
419,FTV,Fortive Corporation,15.91B,50.1,-0.48%,6.26B
420,IFF,International Flavors & Fragrances Inc.,15.91B,62.08,-1.41%,11.30B
421,LUV,Southwest Airlines Co.,15.74B,30.43,0.43%,27.55B
422,NWS,News Corporation,15.32B,30.06,-1.35%,8.45B
423,MAA,"Mid-America Apartment Communities, Inc.",15.31B,127.59,-0.50%,2.20B
424,ERIE,Erie Indemnity Company,14.92B,285.35,-2.49%,4.04B
425,LYB,LyondellBasell Industries N.V.,14.89B,46.27,-0.32%,37.78B
426,NWSA,News Corporation,14.56B,25.99,-1.92%,8.45B
427,DD,"DuPont de Nemours, Inc.",14.53B,34.69,-,12.61B
428,FFIV,"F5, Inc.",14.37B,249.04,-1.58%,3.09B
429,ALLE,Allegion plc,14.17B,164.68,-0.66%,3.98B
430,TXT,Textron Inc.,14.09B,79.98,-1.03%,14.24B
431,OMC,Omnicom Group Inc.,14.09B,73.03,-2.65%,16.07B
432,UHS,"Universal Health Services, Inc.",14.05B,220.7,1.70%,16.99B
433,COO,"The Cooper Companies, Inc.",13.88B,69.81,-0.15%,4.05B
434,KIM,Kimco Realty Corporation,13.82B,20.37,-1.40%,2.12B
435,ZBRA,Zebra Technologies Corporation,13.71B,270.58,0.49%,5.26B
436,CF,"CF Industries Holdings, Inc.",13.67B,84.41,1.34%,6.45B
437,DPZ,"Domino's Pizza, Inc.",13.64B,403.63,1.30%,4.85B
438,AVY,Avery Dennison Corporation,13.47B,174.27,-0.35%,8.77B
439,CLX,The Clorox Company,13.31B,109.14,-2.95%,6.77B
440,MAS,Masco Corporation,13.23B,63.7,-1.64%,7.60B
441,EG,"Everest Group, Ltd.",13.16B,313.45,-0.34%,17.68B
443,WYNN,"Wynn Resorts, Limited",12.94B,125.73,5.66%,6.97B
444,NDSN,Nordson Corporation,12.90B,229.66,-0.99%,2.78B
445,BALL,Ball Corporation,12.82B,47.11,0.23%,12.69B
446,IEX,IDEX Corporation,12.59B,168.25,-1.87%,3.42B
447,REG,Regency Centers Corporation,12.55B,68.91,-0.06%,1.58B
448,DOC,"Healthpeak Properties, Inc.",12.52B,17.69,-1.45%,2.80B
449,BLDR,"Builders FirstSource, Inc.",12.49B,112.97,-2.75%,15.65B
450,BXP,"BXP, Inc.",12.49B,70.61,-0.81%,3.28B
451,HII,"Huntington Ingalls Industries, Inc.",12.46B,317.54,-1.39%,12.01B
452,VTRS,Viatris Inc.,12.28B,10.53,1.64%,14.12B
453,UDR,"UDR, Inc.",12.25B,33.79,0.30%,1.74B
454,BEN,"Franklin Resources, Inc.",11.86B,22.84,1.02%,8.64B
455,DECK,Deckers Outdoor Corporation,11.82B,81.12,-0.47%,5.24B
456,HRL,Hormel Foods Corporation,11.81B,21.48,-0.51%,12.06B
457,SOLV,Solventum Corporation,11.81B,68.12,-1.33%,8.39B
458,SWKS,"Skyworks Solutions, Inc.",11.38B,76.54,-1.52%,4.01B
459,ALB,Albemarle Corporation,11.36B,96.53,-1.73%,4.99B
460,HST,"Host Hotels & Resorts, Inc.",11.23B,16.13,0.69%,5.94B
461,SJM,The J. M. Smucker Company,11.06B,103.64,0.09%,8.71B
462,DAY,Dayforce Inc.,10.99B,68.69,-0.07%,1.89B
463,JKHY,"Jack Henry & Associates, Inc.",10.95B,150.63,1.13%,2.38B
464,CPT,Camden Property Trust,10.84B,99.99,0.51%,1.57B
465,RVTY,"Revvity, Inc.",10.79B,92.97,-0.66%,2.81B
466,AIZ,"Assurant, Inc.",10.70B,212.11,0.18%,12.30B
467,AKAM,"Akamai Technologies, Inc.",10.69B,74.53,-0.76%,4.08B
468,PNW,Pinnacle West Capital Corporation,10.68B,89.45,3.17%,5.31B
469,HAS,"Hasbro, Inc.",10.64B,75.85,-0.60%,4.36B
470,IVZ,Invesco Ltd.,10.50B,23.58,-0.51%,6.28B
471,GL,Globe Life Inc.,10.49B,130.64,-0.66%,5.94B
472,PAYC,"Paycom Software, Inc.",10.40B,184.85,-1.20%,1.96B
473,SWK,"Stanley Black & Decker, Inc.",10.27B,66.36,-2.01%,15.16B
474,NCLH,Norwegian Cruise Line Holdings Ltd.,10.10B,22.18,-1.07%,9.56B
475,ALGN,"Align Technology, Inc.",10.04B,138.53,0.47%,3.98B
476,FDS,FactSet Research Systems Inc.,9.91B,264.57,-0.84%,2.32B
477,MRNA,"Moderna, Inc.",9.73B,24.91,-8.28%,3.08B
478,AES,The AES Corporation,9.70B,13.62,-1.80%,12.03B
479,POOL,Pool Corporation,9.67B,259.48,-2.84%,5.29B
480,ARE,"Alexandria Real Estate Equities, Inc.",9.62B,55.69,-4.35%,3.06B
481,GNRC,Generac Holdings Inc.,9.61B,163.75,-2.54%,4.35B
482,TECH,Bio-Techne Corporation,9.54B,61.26,-2.09%,1.22B
483,BAX,Baxter International Inc.,9.35B,18.21,-1.41%,11.02B
484,IPG,"The Interpublic Group of Companies, Inc.",9.16B,25.01,-2.53%,8.85B
485,AOS,A. O. Smith Corporation,9.14B,65.66,-0.50%,3.83B
486,EPAM,"EPAM Systems, Inc.",9.01B,161.71,-1.12%,5.07B
487,CPB,The Campbell's Company,8.90B,29.91,-0.73%,10.25B
488,CRL,"Charles River Laboratories International, Inc.",8.80B,178.86,-0.67%,4.03B
489,MGM,MGM Resorts International,8.75B,32.13,0.31%,17.28B
490,LW,"Lamb Weston Holdings, Inc.",8.75B,62.76,1.67%,6.46B
491,MOS,The Mosaic Company,8.65B,27.26,-0.69%,11.25B
492,TAP,Molson Coors Beverage Company,8.55B,43.22,-1.14%,11.28B
493,DVA,DaVita Inc.,8.40B,119.05,0.03%,13.32B
494,FRT,Federal Realty Investment Trust,8.30B,95.68,-0.53%,1.26B
495,CAG,"Conagra Brands, Inc.",8.27B,17.29,0.58%,11.45B
496,APA,APA Corporation,8.05B,22.49,-0.71%,9.80B
497,HSIC,"Henry Schein, Inc.",7.84B,64.63,2.26%,12.77B
498,MTCH,"Match Group, Inc.",7.82B,32.5,0.49%,3.45B
499,LKQ,LKQ Corporation,7.79B,30.43,-4.80%,14.10B
500,MOH,"Molina Healthcare, Inc.",7.56B,147.03,-3.94%,42.84B
501,MHK,"Mohawk Industries, Inc.",6.87B,111.2,-2.15%,10.72B
502,EMN,Eastman Chemical Company,6.61B,57.89,-2.74%,9.02B
