Symbol,Metric,2000,1999,1998,1997,1996,1995,1994,1993,1992
ORCL,Revenue,10.23,8.9,7.23,5.68,4.22,2.97,2,1.5,1.18
,Growth,14.9%,23.1%,27.3%,34.6%,42.1%,48.5%,33.3%,27.1%,
,Profit,3.76,2.13,1.58,1.34,1.06,0.442,0.7,0.45,0.62
,Profit Margin,36.8%,23.9%,21.9%,23.6%,25.1%,14.9%,35.0%,30.0%,52.5%
