Symbol,Metric,2008,2007,2006,2005,2004,2003,2002,2001,2000
CHL,Operating Rev,"412,343","356,959","295,358","243,041","192,381","158,604","128,561","100,331","64,984"
RMB million,Growth,15.5%,20.9%,21.5%,26.3%,21.3%,23.4%,28.1%,54.4%,
,Profit,"112,793","87,062","66,026","53,549","41,749","35,556","32,601","28,015","18,027"
,Profit Margin,27.4%,24.4%,22.4%,22.0%,21.7%,22.4%,25.4%,27.9%,
