Symbol,Metric,2025,2024,2023,2022,2021,2020
AVGO,Revenue,"63,887 ","51,574 ","35,819 ","33,203 ","27,450 ","23,888 "
$M,Growth,23.9%,44.0%,7.9%,21.0%,14.9%,
,Profit,"23,126 ","5,895 ","14,082 ","11,223 ","6,437 ","2,663 "
,Profit Margin,36.2%,11.4%,39.3%,33.8%,23.4%,11.1%
