Synbol,Metric,2025,2024,2023,2022,2021,2020
ANET,Revenue,"$9,006 ","$7,003 ","$5,860 ","$4,381 ","$2,948 ","$2,318 "
$M,Growth,28.6%,19.5%,33.8%,48.6%,27.2%,
,Profit,"$3,511 ","$2,852 ","$2,087 ","$1,352 ",$841 ,$635 
,Profit Margin,39.0%,40.7%,35.6%,30.9%,28.5%,27.4%
