Symbol,Metric,2025,2024,2023,2022,2021,2020
PLTR,Revenue,"$4,475 ","$2,866 ","$2,225 ","$1,906 ","$1,542 ","$1,093 "
$M,Growth,56.1%,28.8%,16.7%,23.6%,41.1%,
,Profit,"$1,625 ",$462 ,$210 ,($374),($520),"($1,166)"
,Profit Margin,36.3%,16.1%,9.4%,-19.6%,-33.7%,-106.7%
