Symbol,Metric,2000,1999,1998,1997,1996,1995,1994,1993,1992
MSFT,Revenue,22.96,19.75,14.48,11.36,8.67,5.937,4.65,3.75,2.76
,Growth,16.3%,36.4%,27.5%,31.0%,46.0%,27.7%,24.0%,35.9%,
,Profit,9.42,7.79,4.49,3.45,2.2,1.453,1.14,0.953,0.708
,Profit Margin,41.0%,39.4%,31.0%,30.4%,25.4%,24.5%,24.5%,25.4%,25.7%
