Symbol,Metric,2008,2007,2006,2005,2004,2003,2002,2001,2000
RIO,Revenue,"54,260","29,700","22,460","19,030","12,950","9,220","8,440","8,150","11,590"
$M,Growth,82.7%,32.2%,18.0%,46.9%,40.5%,9.2%,3.6%,-29.7%,
,Profit,10790,8620,8570,8140,4120,1400,1850,2220,4130
,Profit Margin,19.9%,29.0%,38.2%,42.8%,31.8%,15.2%,21.9%,27.2%,
