Symbol,Metric,2025,2024,2023,2022,2021,2020
FIX,Revenue,"$9,102 ","$7,027 ","$5,207 ","$4,140 ","$3,074 ","$2,857 "
$M,Growth,29.5%,35.0%,25.8%,34.7%,7.6%,
,Profit,"$1,023 ",$522 ,$323 ,$246 ,$143 ,$150 
,Profit Margin,11.2%,7.4%,6.2%,5.9%,4.7%,5.3%
