Symbol,Metric,2025,2024,2023,2022,2021,2020
NVDA,Revenue,"130,497 ","60,922 ","26,974 ","26,914 ","16,675 ","10,918 "
$M,Growth,114.2%,125.9%,0.2%,61.4%,52.7%,
,Profit,"72,880 ","29,760 ","4,368 ","9,752 ","4,332 ","2,796 "
,Profit Margin,55.8%,48.8%,16.2%,36.2%,26.0%,25.6%
