Date,Value
2026-01-02,90.98999786376953
2026-01-05,91.45999908447266
2026-01-06,90.6500015258789
2026-01-07,90.7300033569336
2026-01-08,90.52999877929688
2026-01-09,89.45999908447266
2026-01-12,89.41000366210938
2026-01-13,90.31999969482422
2026-01-14,88.55000305175781
2026-01-15,88.05000305175781
2026-01-16,88.0
2026-01-20,87.26000213623047
2026-01-21,85.36000061035156
2026-01-22,83.54000091552734
2026-01-23,86.12000274658203
2026-01-26,85.69999694824219
2026-01-27,85.58000183105469
2026-01-28,84.63999938964844
2026-01-29,83.16000366210938
2026-01-30,83.48999786376953
2026-02-02,82.76000213623047
2026-02-03,79.94000244140625
2026-02-04,80.16000366210938
2026-02-05,80.87000274658203
2026-02-06,82.19999694824219
2026-02-09,81.47000122070312
2026-02-10,82.20999908447266
2026-02-11,79.62000274658203
2026-02-12,75.86000061035156
2026-02-13,76.87000274658203
2026-02-17,77.0
2026-02-18,77.98999786376953
2026-02-19,77.0
2026-02-20,78.66999816894531
2026-02-23,76.0199966430664
2026-02-24,78.04000091552734
2026-02-25,82.69999694824219
2026-02-26,84.58999633789062
2026-02-27,96.23999786376953
2026-03-02,97.08999633789062
2026-03-03,97.69999694824219
2026-03-04,98.66000366210938
2026-03-05,99.16999816894531
2026-03-06,99.0199966430664
