Date,Value
2026-01-02,42.99399948120117
2026-01-05,43.01118850708008
2026-01-06,43.03919982910156
2026-01-07,43.04059982299805
2026-01-08,43.036598205566406
2026-01-09,43.12889862060547
2026-01-12,43.10540008544922
2026-01-13,43.14179992675781
2026-01-14,43.152400970458984
2026-01-15,43.16960144042969
2026-01-16,43.27220153808594
2026-01-19,43.26826858520508
2026-01-20,43.276100158691406
2026-01-21,43.289398193359375
2026-01-22,43.295799255371094
2026-01-23,43.339900970458984
2026-01-26,43.38639831542969
2026-01-27,43.38180160522461
2026-01-28,43.41460037231445
2026-01-29,43.40729904174805
2026-01-30,43.455101013183594
2026-02-02,43.48197937011719
2026-02-03,43.47489929199219
2026-02-04,43.49100112915039
2026-02-05,43.519500732421875
2026-02-06,43.60929870605469
2026-02-09,43.46875
2026-02-10,43.58409881591797
2026-02-11,43.627498626708984
2026-02-12,43.63610076904297
2026-02-13,43.72809982299805
2026-02-16,43.69063186645508
2026-02-17,43.722801208496094
2026-02-18,43.734500885009766
2026-02-19,43.763999938964844
2026-02-20,43.83829879760742
2026-02-23,43.80820083618164
